,회사명,날짜,언론사,기사제목,링크,본문
0,NC soft, 2017-07-1018:46,서울경제 ,[장 마감 후 기업공시] 7월 10일,https://finance.naver.com/news/news_read.nhn?article_id=0003068571&office_id=011&mode=search&query=엔씨&page=1,"[""       [장 마감 후 기업공시] 7월 10일      기사입력2017-07-10 18:46기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 [서울경제] [장 마감 후 기업공시] 7월 10일▲남광토건(001260)= 오는 8월 21일 광주광역시 동구 남광토건 광주지점 대회의실에서 이사 선임과 관련한 주주총회를 열기로 결정▲LG상사(001120)= 2·4분기 잠정실적 7월 26일 공시 ▲대신증권(003540)= 국민연금 코인베스트먼트(Co-Investment) 사모투자합자회사 주식 450억주를 450억원에 취득(자기자본대비 2.53%)▲한진중공업(097230)= 계열사인  HHIC-Phil에 대해 300억5,080만원 채무 보증을 결정 ▲현대로보틱스(267250)= 신주발행가액을 40만6,577원으로 결정 ▲SK텔레콤(017670)= 최신원 SK네트웍스(001740) 회장이 보유한 SK텔레콤 주식 1,067주를 전량 장내매도  ▲씨에스윈드(112610)= 베스타스윈드시스템(Vestas Wind Systems A/S)과 26억3,000만원 상당의 윈드타워 공급계약을 체결 ▲현대엘리베이(017800)= ‘사옥확보 및 투자임대수익 확보’를 목적으로 서울 연지동의 현대그룹 오피스 빌딩을 2,500억원에 농협으로부터 양수 ▲엔씨소프트(036570)= 기존 최대주주 국민연금공단 지분율 감소로 김택진 대표 외 특수관계인(지분율 12.02%)이 최대주주로 변경▲파크시스템스(140860)= 해외 거래처와 27억8,186만원 규모의 반도체 공정용 원자현미경 공급 계약을 체결 ▲우노앤컴퍼니(114630)= 홍길남씨가 제기한 ‘감사지위보전 가처분 신청’ 관련 소송 피보전권리에 대한 소명 부족으로 기각 ▲큐로컴(040350)= 계열사 대경기계기술 주식 1,500만주를 96억3,000만원에 처분▲크레아플래닛(058530)= 단기 차입금이 33억원 가량 감소해 총액이 60억4,400만원으로 축소  ▲엠에스씨(009780)= 유가증권시장 이전상장을 위한 코스닥 시장 조건부 상장폐지 결정을 철회 <10일>/서지혜기자 wise@sedaily.com[서울경제 바로가기]1997년 이래 대한민국 최고의 과학자 DB [바로가기]서울경제의 모든 연재물!... 서경Cube [바로가기▶]저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지서울경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.문 대통령 독일순방 성료후 귀국...하루 휴식후 내치 집중국정위, 13일 文대통령에게 국정 5개년 계획 보고이효리, 컴백과 동시에 막방···SEOUL + BLACK으로 독보적인 분위기 선보여박근혜 前 대통령 '주 4회 재판' 강행군···현재 건강 상태는?[SE★초점] '결별' 가인-주지훈, '대마초 폭로'가 퇴색시킨 3년 연애史좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :""]"
1,NC soft, 2017-07-1018:21,이데일리 ,10일 장 마감 후 주요 종목 뉴스,https://finance.naver.com/news/news_read.nhn?article_id=0003870586&office_id=018&mode=search&query=엔씨&page=1,"[""       10일 장 마감 후 주요 종목 뉴스      기사입력2017-07-10 18:21기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 [이데일리 이승현 기자] 다음은 10일 장 마감 후 주요 종목 뉴스다.△롯데케미칼(011170) = 말레이시아 자회사 LC타이탄의 유상증자 결과 보통주 5억 8000만주를 1조 116억 8000만원에 발행했다고 공시. 신주 발행가액은 주당 1744.28(6.5 링귓)원이며 납입일은 2017년 7월 7일.△서울가스(017390) = 자기주식취득 신탁계약 기간을 2018년 7월 10일까지로 1년 연장키로 결정했다고 공시.△S&TC(100840) = 현대엔지니어링과 공랭식열교환기 공급계약을 체결했다고 공시. 계약금액은 144억 4750만원으로 매출액 대비 5.69%에 해당.△SG충방(001380) = 주식회사 신동을 흡수합병해 주식회사 에스지충방으로 사명을 바꾼다고 공시.△고려개발(004200) = 대전 동구 용운동 용운주공아파트 주택재건축정비사업공사를 1985억4095만원에 수주했다고 공시. 지난해 매출액 대비 31.82%에 해당.△남광토건(001260) = 8월 21일 광주광역시 동구 남광토건 광주지점 대회의실에서 이사 선임과 관련한 주주총회를 열기로 이사회에서 결정.△사조동아원(008040) = 7월 11일 오전 11시 30분에 서울 여의도에서 주요기관투자자와 애널리스트 등을 상대로 IR을 개최한다고 공시.△LG상사(001120) = 2분기 잠정실적을 7월 26일에 공시한다고 예고.△동부건설(005960) = 보통주 2만4756주를 1주당 5000원에 3자배정방식을 통해 증자한다고 공시.△신성이엔지(011930) = 사외이사인 안남성 한양대 에너지학과 초빙교수가 일신상의 이유로 중도 퇴임한다고 공시.△한진중공업(097230) = 한진중티엠에스 합병기일을 2017년 7월 22일에서 7월 31일로 늦췄다고 공시.△현대로보틱스(267250) = 신주발행가액을 40만6577원으로 결정했다고 공시.△현대엘리베이터(017800) = 임대비용 절감 및 임대수익을 위해 서울 종로구 연지동 1-7의 현대그룹 오피스빌딩을 2500억원에 양수한다고 공시.△씨에스윈드(112610) = 태국 베스타스 윈드 시스템과 윈드타워 공급계약을 체결했다고 공시. 계약금액은 26억3000만원.△엔씨소프트(036570) = 국민연금공단이 장내 매도를 통해 8만2899주를 매각해 김택진 대표이사가 2대 주주에서 최대주주로 바뀌었다고 공시.△화진(134780) = 최대주주 변경을 수반하는 주식양수도 계약을 체결했다고 공시. 조만호씨 외 5명은 530만주를 주당 1만1000원에 메타센스 외 4명에게 매매하는 계약을 체결△피씨엘(241820) = 보건복지부 질병관리본부와 POCT기반의 코로나바이러스(메르스 등 4종) 다중신속 검출 시스템 개발과 관련해 9000만원의 계약을 맺었다고 공시.△크루셜텍(114120) = 이미지 센싱이 가능한 표시장치 관련 특허권을 취득했다고 공시. 디스플레이 화면에서 광학식 지문인식이 가능하도록 하는 기술에 대한 특허.△아스트(067390) = 미국 스피릿 에어로시스템즈(Spirit AeroSystems Incorporated)와 B737 Max-8, B737 Max-9 Section48을 2990억원 가량 공급키로 계약을 맺었다고 공시.△제일테크노스(038010) = 자사주를 2만6697주 처분키로 결정했다고 공시. 처분주식 가격은 주당 5500원으로 총 처분액은 1억4600만원.△유아이엘(049520) = 1089만 2468주의 무상증자를 결정했다고 공시. 기존 보유 자사주 중 50만 2주를 소각키로 결정.△디엠티(134580) = 대표이사가 신재호씨에서 권영철씨로 변경됐다고 공시. 사외이사로는 윤수복 현 법무법인 민 변호사와 권기범 주식회사 키웍스 경영기획실장이 선임.△하이비젼시스템(126700) = 3D프린터 제조업체 큐비콘의 주식을 200만주 인수해 지분 81.63%를 취득했다고 공시. 취득금액은 10억원.△텔레필드(091440) = 혈압을 이용한 수면상태와 활동상태 분석시스템과 관련 특허권을 취득했다고 공시.△서호전기(065710) = 부산신항국제터미널과 크레인 제어시스템과 관련 189억원을 공급키로 계약을 맺었다고 공시. 계약기간은 7월 10일부터 2020년 10월말까지.△우노앤컴퍼니(114630) = 홍길남 씨가 제기한 감사지위보전 가처분 신청 소송이 전주지방법원의 기각 결정을 받았다고 공시.△파크시스템스(140860) = 해외거래처와 반도체 공정용 원자현미경 납품계약을 27억8100만원에 체결했다고 공시.△크레아플래닛(058530) = 단기차입금이 33억원 가량 감소했다고 공시. 단기차입금 총액은 60억4400만원으로 줄어듦.△큐로컴(040350) = 계열사 대경기계기술의 지분 1500만주를 96억3000만원에 매각했다고 공시. 처분후 지분율은 24.25%.△썬코어(051170) = 신한은행이 서울지방법원에 제기한 원주시 태장동 및 경기도 파주시 공장의 부동산 가압류 소송에서 원고 승소 판결을 받았다고 공시. 15억2900만원의 청구금액을 공탁하고 집행정지 또는 취소 신청을 할 수 있음.△유진기업(023410) = 계열사인 유진로텍이 NH농협은행 외 2개 금융기관으로부터 차입한 채무와 관련 580억원의 채무보증을 결정했다고 공시. △엘아이에스(138690) = 유한회사 제이더블유얼라이언스와 현대엠파트너스를 상대로 130억원의 전환사채를 발행했다고 공시. 사채만기일은 2021년 7월 12일이고 표면 및 만기이자율은 1.5%, 4.0%.△옵트론텍(082210) = 주식매수선택권 행사에 따른 자사주 교부를 위해 1만4000주의 자사주를 처분키로 했다고 공시.△엠에스씨(009780) = 유가증권 이전상장을 추진했으나 구체적인 검토 결과 유가증권 상장사 평균 외형에 크게 미흡해 현재 진행중인 이전 상장을 철회키로 했다고 공시. 이를 위한 코스닥 시장 조건부 상장폐지 결정도 철회함.△퓨전데이타(195440) = 올해 매출액을 383억원으로 전망했다고 공시.이승현 (leesh@edaily.co.kr)▶심쿵유발 스타 화보 [핫포토]▶이데일리 [페이스북] | [카카오 친구 맺기]▶한 눈에 보는 이슈 트렌드 [카드뉴스]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.'신흥 부촌' 성수동, 레미콘 공장 이전으로 화룡점정'유관순함' 12월 실전배치…10일 이상 수중작전, 北 정밀타격강경화, 도시락에 컵라면 추가..G20 뒷이야기 담긴 '청와대 사람들'[영상]경부고속도로 사고 현장 담긴 블랙박스 공개…'너무 생생해서'건물 옥상 위 쓰레기 더미 모두 치우고 나니…'무려 3.5톤'좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :""]"
2,NC soft, 2017-07-1018:18,한국경제TV ,"김택진 엔씨소프트 대표, 다시 최대주주로 등극",https://finance.naver.com/news/news_read.nhn?article_id=0000561232&office_id=215&mode=search&query=엔씨&page=1,"['       김택진 엔씨소프트 대표, 다시 최대주주로 등극       기사입력2017-07-10 18:18기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글[한국경제TV 정재홍 기자]엔씨소프트가 기존 최대주주였던 국민연금공단의 지분율이 11.75%로 줄어 김택진 등 특수관계인(지분율 12.02%)이 최대주주로 변경됐다고 오늘(10일) 공시했습니다.국민연금공단은 지난 7일 엔씨소프트 주식 257만5,790주(지분율 11.75%)를 보유 중이라고 공시한 바 있습니다.정재홍기자 jhjeong@wowtv.co.krⓒ 한국경제TV, 무단 전재 및 재배포 금지한국경제TV 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.이상민이 밝힌 싸이 아내…외모·성격·재력 3박자탁현민 저서 또 파문…""고1때 첫 성경험, 친구들과 공유했던 여자""박지성 아내 김민지, 집안 스펙이 장난 아니네가인, ""연예계 마약과의 전쟁"" 물꼬 트나…경찰 \'대마초 폭로\' 수사 본격화차유람♥이지성, 딸 위한 \'100평\' 집 공개…\'40억 인세수입\' 히트작가의 위엄좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
3,NC soft, 2017-07-1018:12,이데일리 ,"[마켓인][오늘의 M&A 공시]현대엘리베이터, 연지동 현대 사옥 인수",https://finance.naver.com/news/news_read.nhn?article_id=0003870583&office_id=018&mode=search&query=엔씨&page=1,"['       [마켓인][오늘의 M&A 공시]현대엘리베이터, 연지동 현대 사옥 인수      기사입력2017-07-10 18:12기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 [이데일리 박기주 기자] 다음은 10일 인수합병(M&A) 관련 주요 기사다.\xa0◇현대엘리베이터, 연지동 현대 사옥 인수#현대엘리베이터는 서울 연지동 현대그룹 오피스빌딩을 인수하기로 했다고 10일 공시했다. 거래상대방은 농협은행과 코람코이며, 양수금액은 2500억원이다. ◇화진, 최대주주 메타센스로 변경#화진은 최대주주인 조만호 외 5명이 보유주식 530만주(지분율 42.98%)를 메타센스 외 4명에게 양도하는 계약을 체결했다고 10일 공시했다. 총 양수도 금액은 583억원이며, 양수인은 ㈜메타센스,시에스·청미연㈜·㈜에스에이치인베스트먼트·㈜제이케이홀딩스·㈜보이드코리아 등이다. ◇SG충방, 신동 흡수합병 결정#SG충방은 생산설비, 기술 및 경영자원의 통합을 통한 시너지효과를 창출하기 위해 ㈜신동을 흡수합병하기로 결정했다고 10일 공시했다. ◇하이비젼시스템, 3D프린터 업체 지분 인수#하이비젼시스템은 3D프린터 관련 사업 역량 강화를 위해 큐비콘 지분 81.63%(200만주)를 취득하기로 했다고 10일 공시했다. 취득금액은 10억원이다. ◇대신PE, 국민연금 사모펀드 지분 18% 취득#대신증권은 대신프라이빗에쿼티가 국민연금 Co-Investment 사모투자합자회사의 지분 18%를 450억원에 취득했다고 10일 공시했다. 대신증권은 ""경영참여형 사모집합투자기주의 유한책임사원으로 참여함으로써 투자수익을 획득하기 위해 취득했다""고 밝혔다.◇큐로컴, 대경기계기술 주식 1500만주 처분#큐로컴은 계열사 대경기계기술의 주식 1500만주를 96억3000만원에 처분하기로 했다고 10일 공시했다. 처분 후 지분율은 24.25%다. ◇엘아이에스, 130억 규모 전환사채 발행#엘아이에스는 운영자금 조달을 위해 130억원 규모의 전환사채를 발행하기로 했다고 10일 공시했다. 사채발행 대상은 제이더블류얼라이언스(100억원)과 현대엠파트너스(30억원)다. ◇엔씨소프트, 최대주주 김택진 대표로 변경#엔씨소프트는 국민연금공단 지분율 감소로 최대주주가 국민연금공단에서 김택진 외 특수관계인(12.02%)으로 변경됐다고 10일 공시했다. \xa0박기주(kjpark85@edaily.co.kr)▶심쿵유발 스타 화보 [핫포토]▶이데일리 [페이스북] | [카카오 친구 맺기]▶한 눈에 보는 이슈 트렌드 [카드뉴스]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.\'신흥 부촌\' 성수동, 레미콘 공장 이전으로 화룡점정\'유관순함\' 12월 실전배치…10일 이상 수중작전, 北 정밀타격강경화, 도시락에 컵라면 추가..G20 뒷이야기 담긴 \'청와대 사람들\'[영상]경부고속도로 사고 현장 담긴 블랙박스 공개…\'너무 생생해서\'건물 옥상 위 쓰레기 더미 모두 치우고 나니…\'무려 3.5톤\'좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
4,NC soft, 2017-07-1017:58,뉴시스 ,"엔씨소프트, 최대주주 김택진 대표 등 특수관계인으로 변경",https://finance.naver.com/news/news_read.nhn?article_id=0008060120&office_id=003&mode=search&query=엔씨&page=1,"['       엔씨소프트, 최대주주 김택진 대표 등 특수관계인으로 변경      기사입력2017-07-10 17:58기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 【서울=뉴시스】정옥주 기자 = 엔씨소프트(036570)는 국민연금공단의 지분율 감소로 김택진 대표 외 특수관계인(지분율 12.02%)이 최대주주로 변경됐다고 10일 공시했다.엔씨소프트의 최대주주였던 국민연금공단은 지난달 30일 엔씨소프트 주식 8만2899주를 장내 매도, 보유주식이 257만5790주로 감소했다. 이에 따라 지분율도 12.12%에서 11.75%로 줄어들었다. channa224@newsis.com뉴시스 뉴스, 네이버 뉴스 스탠드에서도 만나세요뉴시스 SNS [페이스북] [트위터]뉴시스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.\'호주 도피\' 여고생 성폭행범, 또다시 몹쓸짓""왜 마음 안받아줘?"" 여성 직장동료 살해 20대 \'징역 35년\'아파트 9층서 떨어진 5살 여아…가벼운 상처만 입고 퇴원박근혜 ""발다쳐 재판 불출석""···이재용 대면도 불발서울청장 ""성매매 호텔 경찰 상납, 필요시 수사·감찰""좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
5,NC soft, 2017-07-1017:47,서울경제 ,"엔씨소프트, 최대주주 김택진 대표 등 특수관계인으로 변경",https://finance.naver.com/news/news_read.nhn?article_id=0003068490&office_id=011&mode=search&query=엔씨&page=1,"[""       엔씨소프트, 최대주주 김택진 대표 등 특수관계인으로 변경      기사입력2017-07-10 17:47기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 [서울경제] 엔씨소프트(036570)는 10일 기존 최대주주 국민연금공단 지분율이 감소하면서 김택진 대표 외 특수관계인(지분율 12.02%)이 최대주주로 변경됐다고 공시했다. 국민연금공단은 지난 7일 엔씨소프트 주식 257만5,790주(지분율 11.75%)를 보유중이라고 밝혔다. /서지혜기자 wise@sedaily.com[서울경제 바로가기]1997년 이래 대한민국 최고의 과학자 DB [바로가기]서울경제의 모든 연재물!... 서경Cube [바로가기▶]저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지서울경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.문 대통령 독일순방 성료후 귀국...하루 휴식후 내치 집중국정위, 13일 文대통령에게 국정 5개년 계획 보고이효리, 컴백과 동시에 막방···SEOUL + BLACK으로 독보적인 분위기 선보여박근혜 前 대통령 '주 4회 재판' 강행군···현재 건강 상태는?[SE★초점] '결별' 가인-주지훈, '대마초 폭로'가 퇴색시킨 3년 연애史좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :""]"
6,NC soft, 2017-07-1017:44,아시아경제 ,엔씨소프트 최대주주에 김택진 등 특수관계인,https://finance.naver.com/news/news_read.nhn?article_id=0004031213&office_id=277&mode=search&query=엔씨&page=1,"['       엔씨소프트 최대주주에 김택진 등 특수관계인      기사입력2017-07-10 17:44기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 [아시아경제 최대열 기자]엔씨소프트는 기존 최대주주였던 국민연금공단의 지분율이 11.75%로 줄어 김택진 등 특수관계인이 최대주주로 바뀌었다고 10일 공시했다.최대열 기자 dychoi@asiae.co.kr▶ 뉴스가 재밌다! 세상의 모든 재미 [티잼]▶ #아시아경제, #오늘의 많이 본 뉴스(클릭!)아시아경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.[속보]""벽에 중얼거리더니…"" 박근혜 끝내첫 국산 탄도미사일 \'백곰\'에 발칵 뒤집혔다[속보]""국민의당 해체 날짜가…"" 발칵""북한은 이미 돈방석에 앉아있는 나라""北김정은, 핵 폐기 대가로 요구한 돈이…\'충격\'좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
7,NC soft, 2017-07-1017:44,머니투데이 ,"엔씨소프트, 김택진 대표 外로 최대주주 변경",https://finance.naver.com/news/news_read.nhn?article_id=0003901439&office_id=008&mode=search&query=엔씨&page=1,"['       엔씨소프트, 김택진 대표 外로 최대주주 변경      기사입력2017-07-10 17:44기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 [머니투데이 박계현 기자] 엔씨소프트가 기존 최대주주인 국민연금공단의 지분율 감소로 김택진 대표 외 특수관계인(지분율 12.02%)이 최대주주로 변경됐다고 10일 공시했다.국민연금공단은 지난 7일 엔씨소프트 주식 257만5790주(지분율 11.75%)를 보유중이라고 공시한 바 있다.[▶깊이있는 투자정보 \'TOM칼럼\'][▶트렌드 리더의 스타일 지침서 \'스타일M\'][▶빵빵한 차&레이싱걸]박계현 기자 unmblue@머니투데이 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.설현 vs 모델, 루이비통 \'미니 랩 스커트\' 대결…승자는?文 대통령, 기념사진 맨끝 공연장은 로열석 ""홀대 아니다""로드FC 정문홍 대표, 송가연 무고죄로 고소.. 추가 고소도 예정기르던 주인 물어 숨지게 한 풍산개, 어떤 종이길래?이언주 막말 ""급식 조리원은 밥하는 아줌마"" ""나쁜 놈들""좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
8,NC soft, 2017-07-1017:39,이데일리 ,"김택진 대표, 엔씨소프트 최대주주 등극",https://finance.naver.com/news/news_read.nhn?article_id=0003870566&office_id=018&mode=search&query=엔씨&page=1,"[""       김택진 대표, 엔씨소프트 최대주주 등극      기사입력2017-07-10 17:39기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 [이데일리 강경훈 기자] 엔씨소프트(036570)는 국민연금공단이 장내매도를통해 8만2899주를 매각해 김택진 대표이사가 2대 주주에서 최대주주로 바뀌었다고 10일 공시했다.강경훈 (kwkang@edaily.co.kr)▶심쿵유발 스타 화보 [핫포토]▶이데일리 [페이스북] | [카카오 친구 맺기]▶한 눈에 보는 이슈 트렌드 [카드뉴스]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.'신흥 부촌' 성수동, 레미콘 공장 이전으로 화룡점정'유관순함' 12월 실전배치…10일 이상 수중작전, 北 정밀타격강경화, 도시락에 컵라면 추가..G20 뒷이야기 담긴 '청와대 사람들'[영상]경부고속도로 사고 현장 담긴 블랙박스 공개…'너무 생생해서'건물 옥상 위 쓰레기 더미 모두 치우고 나니…'무려 3.5톤'좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :""]"
9,NC soft, 2017-07-1016:14,머니투데이 ,"[내일의전략]CLSA, 이번엔 LG전자 ""팔아라(SELL)""",https://finance.naver.com/news/news_read.nhn?article_id=0003901350&office_id=008&mode=search&query=엔씨&page=1,"['       [내일의전략]CLSA, 이번엔 LG전자 ""팔아라(SELL)""      기사입력2017-07-10 16:14기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 [머니투데이 오정은 기자] [CLSA 매도 보고서 나오자 엔씨소프트·LG전자 급락...거침없는 투자의견 \'주목\']외국계 증권사 CLSA의 매도(SELL) 보고서 여파에 엔씨소프트와 LG전자 주가가 급락했다. 기업 눈치를 살피지 않는 CLSA의 매도 보고서는 국내 증권사들의 매수(BUY) 일색 보고서를 제치고 시장에 큰 파문을 일으켰다. 10일 코스피 시장에서 LG전자는 전일대비 3100원(4.19%) 하락한 7만800원에 거래를 마쳤다. 7일 CLSA 보고서로 시장에서 논쟁이 일었던 엔씨소프트도 1만7000원(4.30%) 내린 37만8500원에 거래를 마감했다. CLSA는 1986년 경제 저널리스트들이 설립한 글로벌 증권사로 독립 리서치를 표방하는 것으로 유명하다. 설립 이듬해 프랑스계 크레디 리요네에 인수됐으며 현재 프랑스 최대 상업은행 크레디 아그리꼴이 최대주주다. CLSA 리서치가 발간하는 리포트는 기업의 눈치를 보지 않는 거침없는 투자의견과 소설을 방불케 하는 독특한 양식, 독자적인 견해로 유명하다. 2012년 코스피가 2000선 언저리를 맴돌던 당시 CLSA는 코스피가 1400포인트까지 급락한다고 전망해 국내 증권가에 센세이션을 일으키기도 했다. 이날 CLSA는 LG전자 매도 의견 보고서를 냈다. CLSA 서울 지점의 샌지브 래나(Sanjeev Rana) 연구원은 ""LG전자의 2분기 실적은 시장 전망치(컨센서스)를 9% 하회했다""며 ""스마트폰 사업부의 손실이 예상보다 컸고 G6 판매 부진, 마케팅 비용 증가가 겹쳤다""고 설명했다. 그는 ""LG전자의 실적 전망치가 하향되고 있고 이 같은 추세가 한동안 계속될 것""이라며 ""하반기 실적 모멘텀 하락과 경쟁 심화를 고려할 때 주가를 반등시킬 의미있는 촉매가 보이지 않는다""고 덧붙였다. 투자의견 \'매도\'를 유지하고 목표주가를 기존 8만4000원에서 7만원으로 하향 조정했다. CLSA는 지난 4월까지만 해도 LG전자에 대해 투자의견 \'비중확대\'를 유지했다. 하지만 주가 상승이 계속되자 6월12일 투자의견을 \'매도\'로 변경했다. 당시 LG전자는 승승장구하며 8만9000원대까지 올랐는데 주가 정점에서 투자의견 ""SELL""을 외친 것이다. 국내 증권사는 현대차투자증권, 한화투자증권, KTB투자증권 정도만 보수적인 견해를 유지했고 대다수 증권사들이 매수를 외치는 상황이었다. 한 펀드매니저는 ""주가가 적정 가격에 도달하면 차익실현이 필요하므로 자연스럽게 투자의견이 매도로 돌아서야 하지만 국내 증권사들은 기업 눈치를 보느라 이를 실행하지 못한다""며 ""CLSA의 매도 보고서는 지극히 당연한 것으로 생각된다""고 말했다. CLSA의 \'독립 리서치\'의 특색은 엔씨소프트에 대한 투자의견에서 더 잘 드러났다. 지난 7일 발간된 엔씨소프트 리포트 \'주가가 과하다:리니지 모바일 매출 정점에서 매도를 권함\'는 매수 일색의 국내 증권사 리서치와 차별화된 견해를 냈다는 점에서 ""용감하다""는 평가를 받았다. 노승주 CLSA 연구원은 ""투자자들이 리니지M의 인기가 정점에 달한 것을 매도 기회로 활용해야 한다""고 조언했다. 리니지M이 초반 슈퍼히트를 기록하자 목표주가를 상향한 국내 증권사 애널리스트들과 정반대되는 견해를 제시한 것이다. 그는 6월21일 출시 이후 12일 만에 1000억원의 매출을 달성한 리니지M의 올해 연간 매출액이 2500억원에 불과할 거란 충격적인 분석으로 구설에 오르기도 했다. 하지만 시장은 적어도 이날까지는 CLSA의 손을 들어줬다. 차익실현 매물이 쏟아지면서 엔씨소프트가 이틀 연속 하락한 것이다. [▶깊이있는 투자정보 \'TOM칼럼\'][▶트렌드 리더의 스타일 지침서 \'스타일M\'][▶빵빵한 차&레이싱걸]오정은 기자 agentlittle@mt.co.kr머니투데이 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.설현 vs 모델, 루이비통 \'미니 랩 스커트\' 대결…승자는?文 대통령, 기념사진 맨끝 공연장은 로열석 ""홀대 아니다""기르던 주인 물어 숨지게 한 풍산개, 어떤 종이길래?로드FC 정문홍 대표, 송가연 무고죄로 고소.. 추가 고소도 예정이언주 막말 ""급식 조리원은 밥하는 아줌마"" ""나쁜 놈들""좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
