,회사명,날짜,언론사,기사제목,링크,본문
0,삼성전자, 2018-06-0516:04,데일리안 ,"LG이노텍, 협력사와 장애인 재활시설 봉사활동 펼쳐",https://finance.naver.com/news/news_read.nhn?article_id=0002262110&office_id=119&mode=search&query=LG이노텍&page=1,"['       LG이노텍, 협력사와 장애인 재활시설 봉사활동 펼쳐      기사입력2018-06-05 16:04기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글LG이노텍 임직원들과 협력사 대표들이 4일 경기도 안산시 중증장애인 재활시설 ‘어린양의 집’에서 혼자 외출하기 힘든 장애인들의 산책을 돕고 있다.ⓒLG이노텍안산시 ‘어린양의 집’서 산책 돕고 텃밭 가꿔 재활시설 필요 물품 기부도LG이노텍(대표 박종석)은 4일 협력사 대표들과 함께 경기도 안산시 중증장애인 재활시설 ‘어린양의 집’을 찾아 봉사활동을 펼쳤다고 5일 밝혔다.이번 봉사활동은 LG이노텍 임직원과 협력사 대표들이 매년 두 차례 모여 진행하는 공동 사회공헌 프로그램의 하나다. 비즈니스를 넘어 봉사도 함께 하자는 협력사 대표들의 제안으로 지난 2011년부터 지속하고 있다.이날 양사 임직원 30여명은 장애인들이 청결한 곳에서 생활할 수 있도록 숙소를 청소하고 주변 잡초를 제거했다. 또 신선한 채소를 기를 텃밭도 가꿨다.봉사활동 참가자들은 혼자 외출하기 힘든 중증 장애인들을 위해 ‘어린양의 집’ 주변을 함께 산책하며 이야기를 나눴다.아울러 양사 대표들은 장애인들이 편히 쉴 수 있는 침대와 복지 업무를 신속히 처리할 수 있는 최신 사무용 복합기를 기부했다. ‘어린양의 집’에서 필요로 하는 물품들을 미리 확인해 준비했다.회사 관계자는 “작지만 실질적인 도움을 주려는 협력사 대표들과 함께 자발적으로 마련된 봉사활동”이라며 “장애인들이 사회 구성원으로서 당당히 살아가길 바라는 마음”이라고 말했다.데일리안 이홍석 기자 (redstone@dailian.co.kr)ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지데일리안 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.LG이노텍, 국립축산과학원과 양계산업 발전 협력 협약 체결LG이노텍, 1분기 영업익 168억원...74.8%↓박종석 LG이노텍 사장 ""협업 통해 UV LED 생태계 구축 확대""LG이노텍, 일본서 \'방수 UV LED\' 기술 인정받아LG이노텍, 협력사와 \'상생데이\' 개최좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
1,삼성전자, 2018-06-0515:41,문화일보 ,"LG이노텍, 장애인 재활 돕기 봉사",https://finance.naver.com/news/news_read.nhn?article_id=0002355254&office_id=021&mode=search&query=LG이노텍&page=1,"['       LG이노텍, 장애인 재활 돕기 봉사      기사입력2018-06-05 15:41기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글LG이노텍은 협력사 대표들과 4일 경기 안산시 중증장애인 재활시설 ‘어린양의 집’을 찾아 봉사활동을 벌였다. LG이노텍 임직원과 협력사 대표들은 2011년부터 매년 두 차례 봉사활동을 하고 있다.  LG이노텍 제공[ 문화닷컴 바로가기 | 문화일보가 직접 편집한 뉴스 채널 | 모바일 웹 ][Copyrightⓒmunhwa.com \'대한민국 오후를 여는 유일석간 문화일보\' 무단 전재 및 재배포 금지(구독신청:02)3701-5555)]문화일보 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.10%미만 득표땐… \'참패 위기\' 한국당, \'선거빚\' 한시름권영진·임대윤 접전… 벌렁거리는 \'보수 심장\' 대구""땅굴은 남한이, 육영수는 자살""…재심서 무죄친구에 성관계 유도 뒤 협박해 돈 뜯어낸 10대들출세 위해 자신의 미모 이용하는 여성… 걸림돌 남편까지 제거좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
2,삼성전자, 2018-06-0513:26,매일경제 ,"LG이노텍, 협력사와 장애인 재활시설 봉사활동",https://finance.naver.com/news/news_read.nhn?article_id=0004163040&office_id=009&mode=search&query=LG이노텍&page=1,"['       LG이노텍, 협력사와 장애인 재활시설 봉사활동      기사입력2018-06-05 13:26기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 LG이노텍은 지난 4일 협력사 대표들과 함께 경기도 안산시에 위치한 장애인 재활시설 \'어린양의 집\'을 찾아 봉사활동을 했다고 5일 밝혔다.이날 LG이노텍과 임직원 대표 등 30여 명은 숙소를 청소하고 주변 잡초를 제거했다. 또 신선한 채소를 기를 수 있도록 텃밭을 가꾸고 중증장애인들과 시설 주변을 산책하며 담소를 나눴다. LG이노텍과 협력사는 시설에 필요한 물품을 사전에 확인해 시설 입주자들을 위한 침대와 사무용 복합기를 기증했다. 이번 봉사활동은 LG이노텍 임직원은 협력사 대표들과 매년 두 차례씩 모여 진행하는 공동 사회공헌 프로그램의 하나로 사업을 넘어 사회공헌도 함께 하자는 협력사 대표들의 제안으로 2011년 시작됐다. LG이노텍 관계자는 ""작지만 실질적인 도움을 주기 위해 협력사와 함께 봉사활동을 마련했다""며 ""장애인들이 사회구성원으로서 당당히 살아가길 바란다""고 말했다. [전경운 기자]▶뉴스 이상의 무궁무진한 프리미엄 읽을거리 ▶아나운서가 직접 읽어주는 오늘의 주요 뉴스[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.\'52세\' 김성령, 20대도 울고갈 \'美친 각선미\' 드러내다\'빚내 주식투자\' 12조원대, 개미들 매수한 종목이…보라 글래머+각선미 완벽 조화…섹시 종결자\'역대 최고가\' 745억원에 팔린 클래식 페라리한혜진, \'속옷화보\'로 전현무 홀린 \'압도적 몸매\' 자랑좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
3,삼성전자, 2018-06-0512:20,뉴스1 ,"LG이노텍, 협력사 대표들과 장애인 재활시설 봉사활동",https://finance.naver.com/news/news_read.nhn?article_id=0003410232&office_id=421&mode=search&query=LG이노텍&page=1,"['       LG이노텍, 협력사 대표들과 장애인 재활시설 봉사활동      기사입력2018-06-05 12:20기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글LG이노텍 임직원들과 협력사 대표들이 지난 4일 경기도 안산시 중증장애인 재활시설 ‘어린양의 집’을 찾아 혼자 외출하기 힘든 중증 장애인들을 위해 어린양의 집 주변을 함께 산책하며 이야기를 나누고 있다.이번 봉사활동은 LG이노텍 임직원과 협력사 대표들이 매년 두 차례 모여 진행하는 공동 사회공헌 프로그램의 하나다. (LG이노텍 제공) 2018.6.5/뉴스1photo@news1.kr▶ [뉴스1] 채널설정하기 ▶ 제보하기▶ ‘6·13지방선거’ 뉴스보기[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]뉴스1 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.안철수 ""홍준표 대표, 지방선거 끝나면 거덜나실 것""""서울만 5번째 방문했어요""…日 \'BTS 투어\' 열풍선거현수막 속 박근혜 사진 훼손…걸리면?제자들 낮술 먹이고 원산폭격 시킨 교수금은방 경보음 울리자 달아난 5인조 강도좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
4,삼성전자, 2018-06-0512:20,뉴스1 ,"LG이노텍, 협력사와 장애인 재활시설 봉사활동",https://finance.naver.com/news/news_read.nhn?article_id=0003410231&office_id=421&mode=search&query=LG이노텍&page=1,"['       LG이노텍, 협력사와 장애인 재활시설 봉사활동      기사입력2018-06-05 12:20기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글LG이노텍 임직원들과 협력사 대표들이 지난 4일 경기도 안산시 중증장애인 재활시설 ‘어린양의 집’을 찾아 장애인들이 청결한 곳에서 생활할 수 있도록 숙소를 청소하고 주변 잡초를 제거하고 있다.이번 봉사활동은 LG이노텍 임직원과 협력사 대표들이 매년 두 차례 모여 진행하는 공동 사회공헌 프로그램의 하나다. (LG이노텍 제공) 2018.6.5/뉴스1photo@news1.kr▶ [뉴스1] 채널설정하기 ▶ 제보하기▶ ‘6·13지방선거’ 뉴스보기[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]뉴스1 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.안철수 ""홍준표 대표, 지방선거 끝나면 거덜나실 것""""서울만 5번째 방문했어요""…日 \'BTS 투어\' 열풍선거현수막 속 박근혜 사진 훼손…걸리면?제자들 낮술 먹이고 원산폭격 시킨 교수금은방 경보음 울리자 달아난 5인조 강도좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
5,삼성전자, 2018-06-0511:38,헤럴드경제 ,"LG이노텍, 협력사와 장애인 시설 봉사활동",https://finance.naver.com/news/news_read.nhn?article_id=0001402153&office_id=016&mode=search&query=LG이노텍&page=1,"['       LG이노텍, 협력사와 장애인 시설 봉사활동      기사입력2018-06-05 11:38기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 LG이노텍이 협력사 대표들과 함께 4일 경기도 안산시 중증장애인 재활시설 ‘어린양의 집’을 찾아 봉사활동을 펼쳤다. 이번 봉사활동은 LG이노텍 임직원과 협력사 대표들이 매년 두 차례 모여 진행하는 공동 사회공헌 프로그램의 하나다. 비즈니스를 넘어 봉사도 함께 하자는 협력사 대표들의 제안으로 지난 2011년부터 지속하고 있다.LG이노텍 임직원과 협력사 대표들은 이날 장애인들의 산책을 돕고 청소, 텃밭 가꾸기 등의 봉사활동과 함께 침대, 복합기 등 재활시설 필요 물품을 기부했다.이승환 기자/nice@heraldcorp.com▶쇼핑의 모든 혜택, 리얼라이프▶헤럴드경제 채널 구독하기 ▶한입뉴스 ‘타파스’ 페이스북 친구맺기 - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -헤럴드경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.고영욱 7월 전자발찌 벗어도…10년간 복귀 불갖퇴출\'주진우 ""김부선 울며 연락 와…합의종용 아냐""80년대 아이유 보현스님 ""노리개 취급당해"" 고백박지원 ""김문수·안철수 곧 단일화…홍준표 둑 무너져""\'복면가왕\' 김성주, 실명 거론 \'대형 실수\'좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
6,삼성전자, 2018-06-0509:49,조선비즈 ,"코스피, 하루만에 약세 전환…외인·기관 동반매도",https://finance.naver.com/news/news_read.nhn?article_id=0000407675&office_id=366&mode=search&query=LG이노텍&page=1,"['       코스피, 하루만에 약세 전환…외인·기관 동반매도      기사입력2018-06-05 09:49기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 전날까지 사흘 연속 상승 마감한 코스피지수가 5일 장 초반에는 약세를 보이고 있다. 외국인과 기관이 매물을 내다팔며 지수 하락을 부추기고 있다. 밤 사이 미국 증시에서 기술주 중심의 나스닥지수가 종가 기준 사상 최고가를 경신했지만, 국내 전기·전자 업종은 지지부진한 흐름을 나타내고 있다.5일 오전 9시 46분 현재 코스피지수는 전날보다 0.59%(14.32포인트) 하락한 2433.44에 거래되고 있다. 코스피지수는 상승세로 출발했으나 10분 만에 하락 전환했다. 외국인과 기관이 각각 870억원, 501억원 순매도하고 있다. 개인만 1307억원 순매수 중이다.4일(현지 시각) 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전거래일보다 0.72%(178.48포인트) 상승한 2만4813.69에 마감했다. 스탠더드앤드푸어스(S&P)500지수와 나스닥지수도 각각 0.45%, 0.69% 올랐다.특히 나스닥지수는 종가 기준 사상 최고치를 갈아치웠다. 애플 개발자회의의 영향으로 고프로, 알파벳(구글), 아마존, 홈디포 등의 기업 주가가 강세를 보였다. 애플 역시 실적 개선세가 이어지고 있다는 점이 부각되며 상승 마감했다.미국 기술주의 질주에도 불구하고 현재 국내 증시에서는 전기·전자 업종이 약세를 나타내고 있다. 유가증권시장에서 전기·전자 업종은 0.68% 떨어지고 있다. 대장주 삼성전자(005930)도 1.17% 하락세다. LG디스플레이(034220), 삼성SDI(006400), LG이노텍(011070), 삼성전기(009150)등도 약세다.전기·전자 업종뿐 아니라 운송장비, 기계, 운수창고, 음식료품, 금융 등도 전날 대비 하락 흐름을 이어가고 있다. 대부분 전날 강세를 보였던 업종들이다. 반면 의약품 업종은 하루 만에 다시 뜨겁게 달아오르고 있다.증시 전문가들은 미국의 경기 개선세가 지속되고 있는 점은 한국 수출 관련주에 긍정적인 소식이지만, 국제유가가 하락하고 미국발 무역분쟁 이슈가 확대되는 경향을 보이고 있다는 점은 부담 요소라고 전했다.서상영 키움증권 연구원은 “무디스가 이탈리아의 신용등급을 하향 조정할 가능성이 높아진 점도 부담된다”며 “이런 요인들을 감안할 때 한국 증시는 종목별·업종별 차별화 장세가 계속 이어질 것으로 보인다”고 내다봤다.[전준범 기자 bbeom@chosunbiz.com]chosunbiz.com조선비즈 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.노조에 지친 국산차… OEM 차량 늘어난다""한국 고맙습니다"" 세네갈 참치회사 살린 동원삼성맨 영입 2년 만에… 中 SMIC, 경사 났네래미안 등 로또아파트 분양 연기… 무슨일이中 판매량 102% 갑자기 뛴 현대·기아차좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
7,삼성전자, 2018-06-0509:10,연합뉴스 ,"LG이노텍, 협력사와 장애인 재활시설서 봉사",https://finance.naver.com/news/news_read.nhn?article_id=0010128686&office_id=001&mode=search&query=LG이노텍&page=1,"['       LG이노텍, 협력사와 장애인 재활시설서 봉사      기사입력2018-06-05 09:10기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 (서울=연합뉴스) 배영경 기자 = LG이노텍은 지난 4일 협력사 대표들과 경기도의 한 장애인 시설에서 봉사활동을 했다고 5일 밝혔다.    LG이노텍 임직원과 협력사 대표 약 30명은 경기도 안산의 중증장애인 재활시설 \'어린양의 집\'에서 숙소 주변 청소, 텃밭 가꾸기 등의 봉사활동을 했다.     또 시설에 거주하는 장애인들을 위한 침대와 사무용 복합기를 기부했다.     이번 봉사활동은 LG이노텍 임직원과 협력사 대표들이 매년 두 차례 모여 진행하는 공동 사회공헌 프로그램 중 하나다.    LG이노텍 관계자는 ""작지만 실질적인 도움을 주려는 협력사 대표들과 함께 자발적으로 마련된 봉사활동""이라며 ""장애인들이 사회 구성원으로서 당당히 살아가길 바라는 마음""이라고 말했다.ykbae@yna.co.kr▶기사제보 및 문의▶내 생활에 흥이나는 최신 트렌드\xa0\xa0▶사진구매 문의연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.\xa0윤석화 ""\'우만기\' 기적은 이토록 사랑받은 것""\xa0""남 물어뜯고 입에 걸레 문 것들…"" 댓글 달았다가\xa0풍요 속 빈곤에 빠진 한국 드라마\xa0두테르테 또 구설…교민행사서 책주며 여성에 입술 키스\xa0\'와르르\' 용산 건물, 붕괴 시작된 지점 들여다보니…좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
8,삼성전자, 2018-06-0509:04,이데일리 ,"LG이노텍, 협력社 대표들과 봉사활동",https://finance.naver.com/news/news_read.nhn?article_id=0004118787&office_id=018&mode=search&query=LG이노텍&page=1,"['       LG이노텍, 협력社 대표들과 봉사활동      기사입력2018-06-05 09:04기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글산책 돕고 텃밭 가꿔..재활시설 물품도 기부""사회 구성원으로서 당당히 살아가길 바래”[이데일리 윤종성 기자] LG이노텍(011070)은 지난 4일 경기도 안산 소재 중증장애인 재활시설 ‘어린양의 집’에서 협력사 대표들과 함께 봉사활동을 진행했다고 5일 밝혔다.이번 봉사활동은 LG이노텍 임직원과 협력사 대표들이 매년 두 차례 모여 진행하는 공동 사회공헌 프로그램의 하나다. 비즈니스를 넘어 봉사도 함께 하자는 협력사 대표들의 제안으로 지난 2011년부터 지속하고 있다.이날 30여명의 임직원들은 숙소를 청소하고 주변 잡초를 제거했다. 신선한 채소를 기를 텃밭도 가꿨다.혼자 외출하기 힘든 중증 장애인들을 위해 ‘어린양의 집’ 주변을 함께 산책하며 이야기를 나눴다.장애인들이 편히 쉴 수 있는 침대와 복지 업무를 신속히 처리할 수 있는 최신 사무용 복합기도 기부했다. LG이노텍 관계자는 “장애인들이 사회 구성원으로서 당당히 살아가길 바란다”라고 말했다▲LG이노텍 임직원들과 협력사 대표들이 4일 경기도 안산시 중증장애인 재활시설 ‘어린양의 집’을 찾아가 혼자 외출하기 힘든 장애인들의 산책을 돕고 청소, 텃밭 가꾸기 등 봉사활동을 했다윤종성 (jsyoon@edaily.co.kr)최신 웹툰이 매일 공짜... 꿀잼 \'웹툰\' [감상하기▶]6·13 지방선거, \'선거판 한 눈에 보기\' [바로가기▶]20대의 힐링을 위한 놀이터 \'스냅타임\' [놀러가기▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.[팩트체크]홍준표 20%이상 왜곡…대선 득표율 공정성 논란트럼프·김정은, 12일 오전 10시 \'세기의 핵 담판\'(종합)이재명, 다치지 말고 토론회 무사히 나와라..남경필, 자작극 차단[근로시간 단축]공사기간 맞추려면 사람 30% 더 뽑아야할 판[단독]초·중·고 교육비, 2학기부터 신용카드로 낸다좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
9,삼성전자, 2018-06-0508:59,뉴시스 ,"LG이노텍, 협력사와 장애인 재활시설 봉사활동",https://finance.naver.com/news/news_read.nhn?article_id=0008634875&office_id=003&mode=search&query=LG이노텍&page=1,"['       LG이노텍, 협력사와 장애인 재활시설 봉사활동      기사입력2018-06-05 08:59기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글4일 안산시 \'어린양의 집\'서 공동 봉사활동산책 돕고 텃밭 가꾼 후 재활시설 필요 물품 기부【서울=뉴시스】LG이노텍 임직원들과 협력사 대표들이 4일 경기도 안산시 중증장애인 재활시설 \'어린양의 집\'을 찾아가 혼자 외출하기 힘든 장애인들의 산책을 돕고 청소, 텃밭 가꾸기 등 봉사활동을 했다고 5일 밝혔다. 2017.06.05 (사진 = LG이노텍 제공) photo@newsis.com【서울=뉴시스】이종희 기자 = LG이노텍이 협력사 대표들과 함께 4일 경기도 안산시 중증장애인 재활시설 ‘어린양의 집’을 찾아 봉사활동을 했다고 5일 밝혔다. 이번 봉사활동은 LG이노텍 임직원과 협력사 대표들이 매년 두 차례 모여 진행하는 공동 사회공헌 프로그램의 하나다. 비즈니스를 넘어 봉사도 함께 하자는 협력사 대표들의 제안으로 지난 2011년부터 지속하고 있다.이날 양사 임직원 30여명은 장애인들이 청결한 곳에서 생활할 수 있도록 숙소를 청소하고 주변 잡초를 제거했다. 신선한 채소를 기를 텃밭도 가꿨다.또한, 봉사활동 참가자들은 혼자 외출하기 힘든 중증 장애인들을 위해 ‘어린양의 집’ 주변을 함께 산책하며 이야기를 나눴다.아울러, 양사 대표들은 장애인들이 편히 쉴 수 있는 침대와 복지 업무를 신속히 처리할 수 있는 최신 사무용 복합기를 기부했다. ‘어린양의 집’에서 필요로 하는 물품들을 미리 확인해 준비했다.LG이노텍 관계자는 ""작지만 실질적인 도움을 주려는 협력사 대표들과 함께 자발적으로 마련된 봉사활동""이라며 ""장애인들이 사회 구성원으로서 당당히 살아가길 바라는 마음""이라고 말했다.2papers@newsis.com▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]뉴시스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.술취해 함께 일하는 선거운동원 강제추행…현행범 체포친정아버지에게 대든 남편 흉기로 찌른 주부 \'징역 5년\'\'상의 탈의\' 불꽃페미액션은…""싸우는 여자가 이긴다""음란영상 촬영·유포 명문대생, 구속 기각되자 바로 軍입대그리스에서 오토바이 타고가던 남성 벼락맞아 사망좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
