,회사명,날짜,언론사,기사제목,링크,본문
0,삼성전자, 2020-03-2120:24,MBC ,"삼성 구미사업장 15일만에 확진자 발생…""사업장 정상운영""",https://finance.naver.com/news/news_read.nhn?article_id=0001024678&office_id=214&mode=search&query=삼성전자&page=1,"['       삼성 구미사업장 15일만에 확진자 발생…""사업장 정상운영""      기사입력2020-03-21 20:24기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글삼성전자 경북 구미사업장에서 15일만에 다시 코로나19 확진자가 발생했지만 별도 폐쇄 조치 없이 공장을 정상 운영하기로 했습니다.업계에 따르면, 삼성전자 구미 사업장 무선사업부에서 7번째 확진자가 나왔으며, 이 직원은 확진자 접촉이 의심돼 지난 달 28일부터 자가격리 중이었던 것으로 알려졌습니다.삼성전자측은 ""해당 직원이 지난 25일 이후 사업장에 출입하지 않았다""며 ""사업장 폐쇄 조치 없이 정상 운영할 것""이라고 밝혔습니다.한편 삼성전자는 유럽 지역 코로나 확산에 따라 오는 23일부터 슬로바키아 TV 공장 가동을 일주일간 중단하기로 했습니다.조윤정 기자 (cyjung@mbc.co.kr)[저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지]▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ 새로움을 탐험하다. ""엠빅뉴스""▶ MBC 14층 사람들이 만든 뉴스 ""14F""Copyright(c) Since 1996, MBC&iMBC All rights reserved.MBC 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.\'\'보름\'동안 종교·실내체육·유흥 시설 운영 중단 권고\'공문 다섯 차례 보냈지만…수백 명 모인 \'재건축 총회\'이동 제한 안 지키자…WHO \'젊은이 천하무적아냐\'기약 없는 채용 공고…꼭 닫힌 취업문에 토익도 취소소규모로 \'수업 재개\'…다시 문 열고 손님 받는 \'클럽\'좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
1,삼성전자, 2020-03-2119:39,채널A ,차 1대 값 날려 놓고…기회?,https://finance.naver.com/news/news_read.nhn?article_id=0000188662&office_id=449&mode=search&query=삼성전자&page=1,"[""       차 1대 값 날려 놓고…기회?      기사입력2020-03-21 19:39기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 통화 스와프 체결 소식에 한때 뉴욕증시 반짝 급등  코로나19에 대형주도 '충격'…삼성전자 60조 원 증발  지자체장, 연이어 재난 기본소득 제안…내용도 갖가지   ※자세한 내용은 뉴스TOP10에서 확인하실 수 있습니다.▶ '채널A' LIVE 무료 보기▶ 네이버에서 '채널A' 구독하기▶[기사 보기]하루 새 9명 사망으로 ‘103명’…확진자 세자릿수 증가꿈을 담는 캔버스 채널A  ⓒCHANNEL A(www.ichannela.com), 무단 전재 및 재배포 금지좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :""]"
2,삼성전자, 2020-03-2117:31,머니S ,삼성전자 구미공장 '6번째 코로나 환자' 발생… 격리 상태라 사업장 지속 운영,https://finance.naver.com/news/news_read.nhn?article_id=0000520798&office_id=417&mode=search&query=삼성전자&page=1,"['       삼성전자 구미공장 \'6번째 코로나 환자\' 발생… 격리 상태라 사업장 지속 운영      기사입력2020-03-21 17:31기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글삼성전자 구미사업장에서 또\xa0코로나바이러스 감염증(코로나19) 확진자가 발생했다. 해당 직원은 확진자 접촉이 의심돼 자가격리 중이어서 공장이 폐쇄되지는 않았다.21일 삼성전자에 따르면 경북 구미시에 있는 삼성전자 구미2공장에서 근무하는 무선사업부 소속 직원이 코로나19 확진판정을 받았다.이 직원은 확진자 접촉이 의심돼 지난달 28일 자가격리됐다.\xa0지난달 25일 이후 구미2사업장을 출입하지 않아 사업장 내 감염우려는 없는 것으로 보인다.삼성전자 관계자는 ""2월25일 이후로 구미2사업장에 출입하지 않아서\xa0사업장 폐쇄 조치 없이 정상 운영할 것""이라고 밝혔다.앞서 삼성전자 구미공장에서는 지난달 22일 무선사업부의 20대 여성, 같은 달 28일 1사업장 네트워크 사업부 직원, 이달 1일 무선사업부 50대 직원, 2일 2공장의 30대 남성, 6일 2공장 40대 사무직 5명이 잇따라 확진 판정을 받았다.이재용 삼성전자 부회장은 지난 3일 경영진과 함께 구미사업장을 방문, 생산라인을 점검하고 ""모두 힘을 내서\xa0위기를 이겨내 조만간 마스크를 벗고 웃으며 만나자""고\xa0직원들을 격려했다.김노향 기자 merry@mt.co.kr▶ 고수들의 재테크 비법 영상▶ 이건희칼럼 ▶ 코로나19 속보 <저작권자 ⓒ \'성공을 꿈꾸는 사람들의 경제 뉴스\' 머니S, 무단전재 및 재배포 금지>머니S 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""시스루 마스크예요""… 일본산 마스크 실태 \'충격\'원조 \'머슬퀸\' 유승옥, 수영복 입고 콜라병 몸매 과시김희재, 이모 서지오 숨긴 사연 들어보니…이태성 싱글대디였어? ""10세 아들이… """"몸매가 이 정도였어?""… 신소율, 브라탑+레깅스 패션좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
3,삼성전자, 2020-03-2115:58,데일리안 ,"[코로나19] 삼성 구미사업장 15일만에 확진자 발생…""정상운영""",https://finance.naver.com/news/news_read.nhn?article_id=0002390566&office_id=119&mode=search&query=삼성전자&page=1,"['       [코로나19] 삼성 구미사업장 15일만에 확진자 발생…""정상운영""      기사입력2020-03-21 15:58기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글입주 직원 포함 확진 사례 7명…스마트폰 생산 베트남으로 이전삼성전자 구미사업장 전경.ⓒ삼성전자삼성전자 구미사업장에서 신종 코로나바이러스 감염증(코로나19) 확진자가 15일만에 다시 발생했다. 삼성전자는 별도 폐쇄 조치 없이 정상 운영할 방침이다.21일 업계에 따르면 삼성전자 경북 구미 사업장에서 7번째 확진 사례가 나왔다. 확진자는 구미 2사업장 무선사업부 직원으로 확진자 접촉이 의심돼 지난달 28일부터 자가격리 중이었던 것으로 알려졌다.삼성전자 측은 ""해당 직원은 2월 25일 이후로는 구미2사업장에 출입하지 않았다""며 ""사업장 폐쇄 조치 없이 정상 운영할 것""이라고 밝혔다.앞서 구미 2사업장 무선사업부에서 4명의 직원이 확진됐고 같은 사업장 은행 직원과 구미 1사업장 네트워크사업부 직원이 확진 판정을 받은 바 있다.사업장 폐쇄로 삼성전자는 지난 6일 구미에서 생산하던 프리미엄 스마트폰 일부를 한시적으로 베트남 공장에서 생산한다고 밝힌 바 있다.한편 삼성전자는 유럽 지역 코로나19 확산에 따라 오는 23일부터 슬로바키아 TV 공장 가동을 일주일간 중단한다.데일리안 조인영 기자 (ciy8100@dailian.co.kr)ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지데일리안 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.[르포] 삼성전자 주총, 전자투표·코로나19에 \'한산\'…지정좌석제 등 예방 총력(종합)[르포] 삼성전자 주총, 전자투표·코로나19에 \'한산\'[코로나19] ""팬데믹도 막을 수 없다""…삼성·SK하이닉스 신공장 준비 \'이상 無\'[코로나19] 삼성전자, 美서 개최 예정 \'파운드리 포럼\' 연기[코로나19] 삼성전자, 주총 전자투표 권고...주주들에게 당부좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
4,삼성전자, 2020-03-2115:10,YTN ,"삼성 구미사업장 15일 만에 확진자 발생...""사업장 정상 운영""",https://finance.naver.com/news/news_read.nhn?article_id=0001417828&office_id=052&mode=search&query=삼성전자&page=1,"['       삼성 구미사업장 15일 만에 확진자 발생...""사업장 정상 운영""      기사입력2020-03-21 15:10기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 삼성전자 구미사업장에서 보름 만에 다시 코로나19 확진자가 발생했지만, 별도 폐쇄 조치 없이 정상 운영하기로 했습니다.삼성전자 구미 사업장의 확진자는 지난달 28일부터 자가격리 중이었던 것으로 알려졌습니다.삼성전자 관계자는 ""해당 직원은 지난달 25일 이후로는 구미 2 사업장에 출입하지 않았다""며, ""사업장 폐쇄 조치 없이 정상 운영할 것""이라고 밝혔습니다.김현우 [hmwy12@ytn.co.kr] ▶ 이 시각 코로나19 확진자 현황을 YTN에서 확인하세요.  ▶ 대한민국 24시간 뉴스 채널 YTN 생방송보기  ▶ 네이버에서 YTN 뉴스 채널 구독하기 [저작권자(c) YTN & YTN PLUS 무단전재 및 재배포 금지]YTN 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.노예로 부르며 미성년 성 착취…성폭행까지 \'충격\'생필품 사재기까지 \'혼란\'…미국 현지 상황은?고온 건조한 국지적 강풍…주말이 위험한 이유""젊은이들, 코로나19에 천하무적 아니다""\'이만희는 中 명예 주석?\' 신천지 홍보영상 논란좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
5,삼성전자, 2020-03-2115:06,파이낸셜뉴스 ,"삼성 구미 7번째 코로나 확진, 200명 격리 SK하이닉스는 '최종음성'",https://finance.naver.com/news/news_read.nhn?article_id=0004394000&office_id=014&mode=search&query=삼성전자&page=1,"['       삼성 구미 7번째 코로나 확진, 200명 격리 SK하이닉스는 \'최종음성\'      기사입력2020-03-21 15:06기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글삼성전자 구미사업장 전경. 사진=뉴스1[파이낸셜뉴스] 삼성전자 스마트폰 생산 사업장에서 코로나19 획진자가 또 발생했다.   SK하이닉스 반도체 공장에선 의심 환자가 나와 직원 200여명을 자가격리했지만, 음성 판정을 받았다.   21일 업계에 따르면 삼성전자 경북 구미 2사업장 무선사업부 소속 직원 A씨가 확진 판정을 받았다. A씨는 감염자와의 접촉이 의심돼 확진 판정 전인 지난달 28일부터 자가격리 중이었다. 이에 따라 삼성전자는 별도 사업장 폐쇄 조치 없이 정상 운영한다는 방침이다. 삼성전자 구미사업장 내에선 총 7명의 코로나19 확진자가 나왔다. A씨 등 구미 2사업장 무선사업부 직원 5명과, 입주 은행 직원, 구미 1사업장 네트워크사업부 직원이 확진 판정을 받았다. 삼성전자는 확진자가 지속 발생하자 지난 6일 프리미엄 스마트폰의 일부 생산을 한시적으로 베트남 공장으로 전환했다.    SK하이닉스 이천캠퍼스 전경. 사진=뉴시스SK하이닉스에선 코로나19 감염 의심자로 검사를 받은 직원 B씨가 이날 최종 음성판정을 받은 것으로 확인됐다. 앞서 이천사업장에서 근무하는 B씨는 회사에 폐렴 증세를 보고했고, 회사는 B씨와 동료 직원 200여명에 대해 이달 19일부터 자가 격리 조치를 진행했다. SK하이닉스 관계자는 ""해당 직원이 1차·2차 검사에서 모두 음성을 받았다""면서 ""반도체 공장도 정상 가동 중""이라고 했다. 한편, SK하이닉스 이천사업장에선 지난 13일 기술사무직 직원이 코로나19 확진 판정을 받은 바 있다.    integrity@fnnews.com 김규태 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ \'아는 척\'하고 싶은 당신을 위한 [두유노우]▶ 한눈에 보는 [4·15총선 NEWS MAP]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지파이낸셜뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.식사한 후 팁1200만원.. 영수증에 남긴 메모보니박지원, 황교안 맹폭 ""역시 초짜, 홍준표였다면..""잠실7동 거주하는 40대녀의 단호한 배현진 평가 ""아나운서..""실검 오른 \'한선교 얼굴\'…어떻게 변했길래승리 군입대 당시 뒷좌석에 탄 의문의 긴머리 여성좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
6,삼성전자, 2020-03-2115:01,아이뉴스24 ,코로나19 직격탄 현실화…목표주가 하향 봇물,https://finance.naver.com/news/news_read.nhn?article_id=0000530704&office_id=031&mode=search&query=삼성전자&page=1,"['       코로나19 직격탄 현실화…목표주가 하향 봇물      기사입력2020-03-21 15:01기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글삼성전자·SK하이닉스도…경제활동 위축 실적 먹구름[아이뉴스24 류은혁 기자] 코로나19의 전세계적 확산에 따라 생산과 소비 등 경제활동이 급격히 위축되면서 기업들의 이익 전망에도 먹구름이 잔뜩 끼고 있다.이에 따라 최근 업종을 가리지 않고 실적 전망치와 목표주가를 대폭 하향하는 증권사의 분석보고서가 봇물을 이루고 있다. 우리 경제의 버팀목인 삼성전자와 SK하이닉스, 포스코에 대한 목표주가 하향도 잇따르고 있다.21일 금융정보업체 에프앤가이드에 따르면 올들어 증권사들이 발간한 종목 리포트 중 1661개(중복 포함)가 목표주가를 변경했는데, 61%에 달하는 1009개 리포트에서 분석 종목의 목표주가를 내렸다. 반면 목표주가를 올린 리포트는 652개(39%)로 집계됐다.연초 최고가를 경신하던 삼성전자와 SK하이닉스에 대한 목표주가 역시 하향되고 있다. 코로나19 확산 여파로 글로벌 수요가 위축되면서 올해 실적개선이 지연될 것이란 분석에서다. [사진=조성우 기자]지난 18일 키움증권이 삼성전자의 목표주가를 기존 7만3천원에서 6만3천원으로 13.7% 내렸고, 하나금융투자도 반도체 최선호주에서 차선호주로 변경하고 목표주가를 종전 6만7천원에서 6만3천원으로 하향했다.SK하이닉스의 경우 하나금융투자가 기존 11만2천원에서 10만4천원으로 7.14% 내렸고, 현대차증권도 12만원에서 10만5천원으로 12.5% 낮춰잡았다. 이들 증권사는 여전히 \'매수\' 의견을 유지했지만 주가 상승여력은 이전보다 약해졌다고 분석했다.김경민 하나금융투자 연구원은 삼성전자와 SK하이닉스 목표주가 하향 이유로 ""코로나19 발병 이후 대외활동 자제와 노동집약적 생산라인의 가동 지연으로 올해 전세계의 노트북 PC와 스마트폰 출하량이 감소할 것""이라고 꼽았다.삼성전자는 지난 1월 6만원을 돌파하며 6만2천800원까지 오르기도 했으나  최근 4만원대 중반으로 고꾸라졌다. 지난달 10만6천원까지 치솟았던 SK하이닉스도 6만원대로 떨어졌다.목표주가가 무려 50% 넘게 떨어진 종목도 있다. 휠라홀딩스의 경우 신한금융투자가 기존 7만원에서 3만원으로 무려 57.14% 하향했고, NH투자증권도 6만8천원에서 4만9천원으로 27.94% 내렸다. 이들 증권사는 현재까지 추정된 코로나19 영향만으로도 휠라홀딩스의 상반기 실적악화가 불가피하다고 분석했다.이지영 NH투자증권 연구원은 ""휠라홀딩스는 코로나19 확산에 따른 국제적 소비 침체와 판매가격 하락 가능성이 있다""며 ""코로나19 확진자가 늘고 있는 미국과 유럽에 대한 의존도가 높은 점이 단기적인 주가 부담요인""이라고 설명했다.POSCO도 목표주가 하향을 면치 못했다. 하나금융투자는 18% 내린 27만원, 한국투자증권은 20% 내린 24만원을 제시했다. 정하늘 한국투자증권 연구원은 ""코로나19에 따른 글로벌 수요부진은 중장기 판매량까지 영향을 미칠 수 있다""며 ""1분기 뿐만 아니라 연간 실적 역시 낮췄다""고 강조했다.이외에도 하나투어 제이콘테트리 CJ프레시안 코오롱글로벌에 대한 목표주가도 일제히 하향 조정됐다. 이베스트투자증권은 코로나19 여파로 여행과 영화관 사업의 매출이 큰 타격을 입을 것이라며 하나투어는 25.71%, 제이콘텐트리는 26.08% 목표가를 내렸다..한화투자증권은 CJ프레시웨이와 코오롱글로벌의 목표주가를 각각 46%, 12% 내렸다. 코로나19로 최근 외부환경이 불안해진 데다 사람이 붐비는 건설업종과 단체급식 사업상 \'사회적 거리두기\' 캠페인 등으로 실적에 악영향을 미칠 것이라는 분석에서다.류은혁기자 ehryu@inews24.com▶네이버 채널에서 \'아이뉴스24\'를 구독해주세요.▶홍성택과 함께하는 희망찾기 등산·트레킹 교실 ▶아이뉴스24 바로가기[ⓒ 아이뉴스24 무단전재 및 재배포 금지]아이뉴스24 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.[희망 한국] 車업계, 신차·글로벌서 불황 돌파구 찾는다고성장 파운드리시장서 뼈아픈 삼성전자, TSMC와 점유율 격차 커져배당주, 0%대 금리+주가 급락…매력 커진다텔레그램 \'n번방\' 박사의 두 얼굴…검거 직전까지 학보사 기자 활동대구 대실요양병원 확진자 5명 추가 총 62명…집단감염 우려 확산좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
7,삼성전자, 2020-03-2114:44,SBS Biz ,삼성 구미사업장 15일만에 확진자 발생…“사업장 정상운영”,https://finance.naver.com/news/news_read.nhn?article_id=0000207756&office_id=374&mode=search&query=삼성전자&page=1,"['       삼성 구미사업장 15일만에 확진자 발생…“사업장 정상운영”      기사입력2020-03-21 14:44기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글삼성전자 구미사업장에서 15일만에 다시 코로나19 확진자가 발생했으나 별도 폐쇄 조치 없이 정상 운영하기로 했습니다.오늘(21일) 업계에 따르면 삼성전자 경북 구미 사업장에서 7번째 확진 사례가 나왔습니다. 확진자는 구미 2사업장 무선사업부 직원으로 확진자 접촉이 의심돼 지난달 28일부터 자가격리 중이었던 것으로 알려졌습니다.삼성전자 관계자는 ""해당 직원은 2월 25일 이후로는 구미2사업장에 출입하지 않았다""며 ""사업장 폐쇄 조치 없이 정상 운영할 것""이라고 밝혔습니다.앞서 구미 2사업장 무선사업부에서 4명의 직원이 확진됐고 같은 사업장 은행 직원과 구미 1사업장 네트워크사업부 직원이 확진 판정을 받은 바 있습니다.사업장 폐쇄가 이어지면서 삼성전자는 지난 6일 구미에서 생산하던 프리미엄 스마트폰 일부를 한시적으로 베트남 공장에서 생산한다고 밝힌 바 있습니다.한편 삼성전자는 유럽 지역 코로나19 확산에 따라 오는 23일부터 슬로바키아 TV 공장 가동을 일주일간 중단하기로 했습니다.장가희 기자(gani@sbs.co.kr) ▶ 아침을 여는 뉴스 모닝벨 [#오늘의키워드]▶ 경제를 실험한다~ 머니랩 [네이버TV]저작권자 SBS미디어넷 & SBS I&M 무단전재-재배포 금지SBS Biz 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.정 총리 ""용도 한정된 재난기금, 소상공인·취약계층에 사용""어제 147명 늘어 총 8799명…신규 확진 다시 세자릿수정부 ""유럽발 입국자용 임시생활시설 1천실 운영 계획""정부 ""집단감염 위험 종교시설·사업장 등 추가대책 논의""이스타항공, 국내선 운항 중단…국적 항공사 첫 \'셧다운\'좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
8,삼성전자, 2020-03-2114:36,뉴스1 ,"삼성 구미사업장 직원 자가격리 중 확진 판정…""사업장 정상 운영""",https://finance.naver.com/news/news_read.nhn?article_id=0004535475&office_id=421&mode=search&query=삼성전자&page=1,"['       삼성 구미사업장 직원 자가격리 중 확진 판정…""사업장 정상 운영""      기사입력2020-03-21 14:36기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글삼성전자 구미사업장 전경© 뉴스1(서울=뉴스1) 권구용 기자 = 삼성전자 구미사업장에서 또다시 신종 코로나바이러스 감염증(코로나19) 확진자가 발생했다. 해당 직원은 확진자 접촉이 의심돼 자가격리중이어서 공장이 폐쇄되지는 않았다.21일 삼성전자에 따르면 경북 구미시에 있는 삼성전자 구미2공장에서 근무하는 무선사업부 소속 직원이 코로나19 확진판정을 받았다. 이 직원은 확진자 접촉이 의심돼 지난달 28일부터 자가격리 중이었으며 지난달 25일 이후 구미2사업장을 출입하지 않아 사업장 내 감염우려는 없는 것으로 전해졌다. 삼성전자 관계자는 ""해당 직원은 2월 25일 이후로는 구미2사업장에 출입하지 않았다""며 ""사업장 폐쇄 조치 없이 정상 운영할 것""이라고 밝혔다. 앞서 삼성전자 구미공장에서는 지난달 22일 무선사업부의 20대 여성, 같은 달 28일 1사업장 네트워크 사업부 직원, 이달 1일 무선사업부 50대 직원, 2일 2공장의 30대 남성, 6일 2공장 40대 사무직 등 5명이 잇따라 확진 판정을 받았다.이에 지난 3일 이재용 부회장은 경영진과 함께 구미사업장을 방문해 생산라인을 점검하고 ""모두 힘을 내서 함께 이 위기를 이겨내 조만간 마스크를 벗고 활짝 웃으며 만나자""며 직원들의 사기를 진작하기도 했다.  한편 구미사업장은 현재 세계 1위를 달리고 있는 삼성전자의 스마트폰 생산 라인 및 연구개발(R&D) 시설이 있는 곳이다. 지난달 삼성전자가 출시한 2세대 폴더블 스마트폰 \'갤럭시Z 플립\'도 구미에서 생산되고 있다.inubica@news1.kr▶ 해피펫 ▶ 터닝 포인트 2020 구매!▶ 네이버 메인에서 [뉴스1] 구독하기!© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지뉴스1 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.소녀들 기다린 고수익알바 \'나체영상 찍기·변기물 먹기\'였다전염병에 세종도 \'긴급생활비\'…1699년 숙종때 141만명 사망\'미스터트롯\' 영탁, 사재기 의혹 간접 부인\'17세 소년\'의 형 입 열었다 ""확진자 있는 병동에 동생 두더라""김재원 ""부모님 산소에 소주 부어놓고 엄마 아버지 외쳤다""좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
9,삼성전자, 2020-03-2114:10,아시아경제 ,"삼성전자 구미사업장, 다시 코로나19 확진자 발생",https://finance.naver.com/news/news_read.nhn?article_id=0004646889&office_id=277&mode=search&query=삼성전자&page=1,"['       삼성전자 구미사업장, 다시 코로나19 확진자 발생      기사입력2020-03-21 14:10기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 [아시아경제 이창환 기자] 삼성전자 구미사업장에서 15일만에 다시 신종 코로나바이러스감염증(코로나19) 확진자가 발생했다. 21일 업계에 따르면 삼성전자 경북 구미 사업장에서 7번째 확진 사례가 나왔다. 확진자는 구미 2사업장 무선사업부 직원으로 확진자 접촉이 의심돼 지난달 28일부터 자가격리 중이었던 것으로 알려졌다.다만 삼성전자는 해당 직원이 지난달 25일 이후로 사업장에 출입하지 않았기 때문에 사업장 폐쇄 없이 정상 운영할 것이라고 밝혔다. 앞서 삼성전자 구미 2사업장 무선사업부에서 4명의 직원이 확진됐고 같은 사업장 은행 직원과 구미 1사업장 네트워크사업부 직원이 확진 판정을 받은 바 있다.이창환 기자 goldfish@asiae.co.kr▶ 소름 쫙! 2020년 내 대운 시기 확인하기▶ 네이버에서 아시아경제 뉴스를 받아보세요 ▶ 놀 준비 되었다면 드루와!  드링킷!<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>아시아경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""몸살 추가…제발 코로나 아니길"" 남기고 BJ 사망\'日 믿기 어렵다\'…점차 일본 거부하는 국가들저주받은 도쿄올림픽?…""쌩돈 37조 날릴 판""17세 사망 음성 발표날 병원장 보낸 \'의미심장 문자\'전직 아나운서, 성관계 영상 캡처 사진 보냈다가…좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
