,회사명,날짜,언론사,기사제목,링크,본문
0,삼성전자, 2017-09-0223:28,데일리안 ,[IFA2017]송대현 LG전자 사장 삼성 부스 방문...윤부근 대표는?,https://finance.naver.com/news/news_read.nhn?article_id=0002208058&office_id=119&mode=search&query=삼성전자&page=1,"['       [IFA2017]송대현 LG전자 사장 삼성 부스 방문...윤부근 대표는?       기사입력2017-09-02 23:28기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글윤부근 삼성전자 소비자가전(CE)부문 대표(사장)이 1일(현지시간) 독일 베를린에서 열린 \'국제가전박람회(IFA)2017\'의 전시부스를 둘러보고 있다.ⓒ데일리안 밀레·보쉬·하이얼 등 유럽·중국 주요 업체 부스 찾아 동향 파악 지난 1일(현지시간)부터 독일 베를린에서 진행된 \'국제가전박람회(IFA)2017\'에서 윤부근 삼성전자 소비자가전(CE)부문 대표(사장)와 송대현 LG전자 사장이 경쟁사 동향 파악에 분주한 일정을 보내고 있다.  윤부근 사장은 LG전자의 부스를 찾지 않는 대신 밀레, 보쉬 등 유럽가전사 부스를 찾았다. 반면 송대현 LG전자 사장은 삼성전자의 부스를 포함해 중국 하이얼과 유럽의 밀레 등 전 업체의 동향을 살폈다. 윤 사장은 직접 무게를 들어보거나 체험해 보는 식으로 둘러본 반면 송 대표는 임원들에게 상품에 대한 설명을 들으면서 꼼꼼히 살폈다. 이들은 각사가 출시한 신제품과 사업 전략에 따라 동선을 옮겼지만 공동적으로 유럽 최대 가전업체인 밀레와 보쉬를 방문했다. 윤 사장은 개막 첫날(현지시간 1일) 오전부터 삼성전자 전시장에서 주요 거래처인 미국 최대 유통업체 ‘베스트바이’의 마이크 모한 판촉 담당 최고경영자(CEO)를 만나 전시장을 소개한 뒤 부스 탐방을 마쳤다. 부스투어에는 김현석 삼성전자 영상디스플레이사업부장(사장), 서병삼 삼성전자 생활가전사업부장(부사장), 박재순 삼성전자 생활가전 전략마케팅팀장(부사장) 등 TV·가전을 담당하는 CE 소속 임원 등이 동행했다.윤 사장은 IFA에서 처음 선보인 \'파워스틱 프로\'(한국 출시명 \'파워건\')나 \'프레임 TV\'의 등 최근 출시한 상품의 경쟁작을 전시해 놓은 업체를 위주로 방문했다. 윤 대표는 밀레를 방문해 세탁기, 냉장고 등을 살펴봤고 특히 보쉬에서는 ‘상(上) 중심’ 무선청소기를 직접 사용해보는 등 관심을 보였다. 삼성전자는 IFA에서 무선 핸드스틱 청소기 \'파워스틱 프로\'(한국 출시명 \'파워건\')을 처음 선보였다. 윤 대표는 무선청소기를 체험해보면서 ""스틱 청소기의 판이 커질 것이다. 사용성이 편리해 유럽 소비자도 핸드스틱 제품에 관심을 둘 것""이라고 말했다. 또한 IFA에서 새로 선보이는 \'프레임TV\'와 유사한 제품을 출시한 뢰베를 방문했고 베젤이 아예 없는 크리스탈TV에도 관심을 보였다.윤 사장은 ""8K 시대에 진입하면 OLED(유기발광다이오드)가 밝기 부문 문제를 어떻게 해결할지 모르겠다""며 ""8K 시대가 오면 화면이 커지기 때문에 QLED는 충분히 가능성이 있다""고 자신감을 보였다. 송 사장은 2일(현지시간) 독일 베를린에서 열린 ‘국제가전박람회(IFA) 2017’ 개막 둘째날 오전 삼성전자를 시작으로 밀레, 리페르(Liebherr)부스를 임원 10여명과 함께 찾았다. 송 사장은 밀레의 가전기기에 관심을 보였다. 그는 밀레의 ‘M쉐프’가 적용된 ‘다이얼로그 오븐’, 스마트홈 서비스인 ‘밀레앳(@)홈’, 로봇 청소기 등을 살펴봤다. 아에게(AEG) 부스에서는 담당 임원으로부터 스팀프로 오븐, 인덕션, 빌트인 가전 등에 대한 설명을 들었다.송 사장은 최근 성장하고 있는 중국 가전업체인 하이얼도 방문했다.  데일리안 김해원 기자ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
1,삼성전자, 2017-09-0221:42,한국경제 ,"[ IFA 2017] 국내 가전 임원들, 발걸음은 자연스럽게 '밀레'로",https://finance.naver.com/news/news_read.nhn?article_id=0003818099&office_id=015&mode=search&query=삼성전자&page=1,"['       [ IFA 2017] 국내 가전 임원들, 발걸음은 자연스럽게 \'밀레\'로      기사입력2017-09-02 21:42기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글송대현 LG전자 사장, 밀레 부스에서 제품 꼼꼼히 살펴 윤부근 삼성전자 사장도 방문송대현 LG전자 사장이 밀레 부스에서  \'더 다이알로그 오븐\' 신제품을 살펴보고 있다. (사진 김하나 기자)[ 베를린= 김하나 기자 ] 독일 베를린에서 열리고 있는 \'IFA 2017\'에 삼성전자, LG전자 등 국내 대표 가전회사들의 사장단과 임원들이 \'밀레\' 부스를 연이어 찾았다.밀레는 독일의 프리미엄 가전업체로 유럽 현지에서도 고가의 제품으로 알려졌다. 국내에 수입되는 제품들도 대부분 프리미엄급이다. 이번 전시회에서는 \'더 다이알로그 오븐(The Dialog oven)\'을 세계 최초로 공개했다. 밀레부스에서도 중앙에 자리잡고 있으며 오븐을 형상화한 다양한 조형물들도 전시됐다.2일(현지시간) 송대현 LG전자 H&A사업본부장(사장)은 오전부터 밀레의 부스를 찾았다. 10명 가량의 임원진과 부스를 방문한 송 사장은 신제품인 오븐에 대한 설명을 듣는 한편, 애플리케이션을 이용해 가전제품을 작동할 수 있는 솔루션을 살폈다.밀레는 프리미엄급을 주로 하다보니 \'프리미엄 가전명가\'를 지향하고 있는 LG전자의 콘셉트와도 맞아 떨어지는 부분이 있다. 유럽에서 강자인만큼 제품을 살펴보면 소비자들의 수요도 알 수 있다는 게 회사 관계자의 얘기다.송대현 LG전자 사장(가운데)이 밀레 부스에서  홈네트워킹 앱에 대해 설명을 듣고 있다. (사진 김하나 기자)더군다나 밀레는 LG전자와 제품군이 겹치는 점이 많은 편이다. 그만큼 송 사장은 제품들을 꼼꼼히 살폈다. 로봇청소기와 세탁기를 전시한 곳도 방문했다.송 사장 일행은 독일 프리미엄 가전기업인 리페르(Liebherr)와 아에게(AEG) 부스를 둘러봤다. 중국 가전업체인 하이얼, 보쉬(BOSCH) 등까지 들러서 제품들을 자세히 실피는 모습이었다.앞서 전날 윤부근 삼성전자 소비자가전(CE)부문 사장 또한 다른 가전사들의 부스를 둘러봤다. 밀레, 보쉬, 소니 등의 부스에 들러서 최신 트렌드를 직접 챙겼다.한편 밀레가 내놓은 \'더 다이알로그 오븐\'은 요리 재료와 \'대화\'를 하는 오븐이다. 다양한 파장의 마이크로웨이브를 쏘아 더 효과적으로 조리할 수 있다. 얼음 속에 얼린 생선을 조리하는데, 얼음은 녹지 않고 생선살만 익힐 수 있다. 이 제품은 내년 4월 독일에서 출시될 예정이다. 가격은 7990유로(약 1000만원) 정도가 될 예정이다.김하나 한경닷컴 기자 hana@hankyung.com기사제보 및 보도자료 open@hankyung.com[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지한국경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.구글·아마존·MS, 전자기기 업체와 협력한 \'AI 제품\' 전시삼성전자 신제품 \'기어 스포츠\' 체험공간요즘 젊은 부자들, BMW·벤츠 버리고 선택한 차""기아차 노조, 쇠파이프 들고 공장을…"" 패닉""편의점에서 생리대 사면…"" 女연예인의 고백좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
2,삼성전자, 2017-09-0219:40,이데일리 ,"[IFA 2017]송대현 LG전자 사장 ""경쟁사 보러 왔다""",https://finance.naver.com/news/news_read.nhn?article_id=0003913703&office_id=018&mode=search&query=삼성전자&page=1,"['       [IFA 2017]송대현 LG전자 사장 ""경쟁사 보러 왔다""      기사입력2017-09-02 19:40기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글송대현 LG전자 H&A사업본부장(사장·왼쪽)이 밀레 부스에서 관계자에게 설명을 듣고 있다. 사진=경계영 기자[베를린(독일)=이데일리 경계영 기자] 송대현 LG전자(066570) 사장이 2일(현지시간) 독일 베를린에서 열린 ‘국제가전박람회(IFA) 2017’ 개막 둘째날 삼성전자를 포함해 밀레, 리페르(Liebherr) 등 경쟁사 탐색에 나섰다. 송 사장은 이날 오전 IFA에서 삼성전자(005930)를 시작으로 한 시간여 동안 전체 전시장을 둘러봤다. 이번 투어엔 송승걸 쿠킹·빌트인BD 담당 전무 등 임원 10여명이 함께했다. 앞서 전날 윤부근 삼성전자 소비자가전(CE)부문 대표(사장)는 밀레(Miele), 보쉬(Bosch), 소니 등을 둘러봤지만 LG전자를 들르진 않았다. 빠른 시간 안에 주요 제품만 챙겼던 윤 대표와 달리 송 사장은 해당 기업과 임원 등에게 설명을 들으면서 꼼꼼히 제품을 뜯어봤다. 특히 밀레 부스에서는 밀레 측의 가이드와 함께 전자기파를 사용해 음식을 열로 조리하는 기술인 ‘M쉐프’가 적용된 ‘다이얼로그 오븐’, 스마트홈 서비스인 ‘밀레앳(@)홈’, 로봇 청소기 등에 대한 설명을 꼼꼼히 들었다. 그는 독일 프리미엄 가전기업인 리페르(Liebherr)와 아에게(AEG) 부스를 들렀다. 아에게에서는 송 사장은 담당 임원으로부터 스팀프로 오븐, 인덕션, 빌트인 가전 등의 특징을 들었다. 이어 송 사장은 중국 가전업체인 하이얼, 보쉬(BOSCH) 등도 둘러봤다. 송 사장은 기자와 만나 “경쟁사가 어떻게 하는지 보러 왔다”고 말했다. 송대현 LG전자 H&A사업본부장(사장)이 밀레 부스에서 관계자에게 설명을 듣고 있다. 사진=경계영 기자송대현 LG전자 H&A사업본부장(사장)이 밀레 부스에서 관계자에게 설명을 듣고 있다. 사진=경계영 기자경계영 (kyung@edaily.co.kr)▶사진으로 보는 핫이슈▶[페이스북] 보러가기~♥ | [카카오톡] 플친 맺기~♥＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.한국VS이란 축구가 JTBC에서 중계된 까닭?홍준표 ""문재인의 방송파괴 음모 막을 것""[통신비 다이어트]①단말기 할부로 샀다면 완납부터메이웨더 가고, 골로프킨 온다 16일 알바레즈와 \'격돌\'김장겸 체포영장에 한국당 \'화들짝\' 왜좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
3,삼성전자, 2017-09-0219:00,아시아경제 ,"[IFA 2017] 송대현 LG전자 사장 ""최대 관심사는 스마트홈""",https://finance.naver.com/news/news_read.nhn?article_id=0004066991&office_id=277&mode=search&query=삼성전자&page=1,"['       [IFA 2017] 송대현 LG전자 사장 ""최대 관심사는 스마트홈""      기사입력2017-09-02 19:00기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글▲송대현 LG전자 H&A사업본부장(사장)이 밀레측의 스마트홈, 로봇청소기 관련 설명을 듣고 있다.(사진=원다라 기자)[아시아경제 원다라 기자] 송대현 LG전자 H&A사업본부장이 2일(현지시간) 독일 베를린에서 열리고 있는 \'국제가전전시회(IFA) 2017\' 밀레 부스에 방문했다. 밀레 독일 본사 측은 송 사장에게 오븐, 스마트홈, 로봇 전시를 소개했다. 송 사장은  ""(전시를 둘러볼 수 있는)시간이 얼마 없으니 로봇, 스마트홈 중 어느것에 더 관심이 있는지 말해달라""는 밀레측의 요청에 ""스마트홈에 더 관심이 있다""고 답하기도 했다. 한편 송 사장은 밀레 부스 방문에 앞서 삼성전자 부스에 들러 세탁기, 냉장고, 청소기 등 가전 제품을 살펴봤다. 원다라 기자 supermoon@asiae.co.kr▶ 뉴스가 재밌다! 세상의 모든 재미 [티잼]▶ 고수가 추천하는 종목은?아시아경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.70명 농락한 \'한국의 카사노바\' 얼굴이…\'진흙 뭍을라\'…朴 전 대통령은 더 심했다""노리갯감이 되던가…"" 홍준표 끝내\'北 지하벙커를…\' 족쇄 풀린 文, 드디어한국 축구 \'최악의 잔디\' 논란, 알고보니…좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
4,삼성전자, 2017-09-0216:06,세계일보 ,"IFA 속 중국제품 이모저모 ""우습기도 놀랍기도""",https://finance.naver.com/news/news_read.nhn?article_id=0003205981&office_id=022&mode=search&query=삼성전자&page=1,"['       IFA 속 중국제품 이모저모 ""우습기도 놀랍기도""      기사입력2017-09-02 16:06기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 전세계에 가전 메이커들이 모여 기술력을 자랑하는 국제가전전시회(IFA). 2일(현지시간) IFA 키노트 스피커로 중국 화웨이의 리처드 유 화웨이 최고경영자(CEO)가 나서는 등 세계 속에서 중국 업체의 위상이 눈에 띄게 높아지고 있다. 중국산 일부 제품은 놀라울 정도로 높은 기술력으로 글로벌 가전브랜드를 긴장하게 만들었다. 반면 일부 난해한 제품을 선보이며 관람객들의 시선을 끌었다.◆250달러 짜리 유리닦는 로봇, 한 순간에 110달러 된 사연한 중국 업체에서 유리창 닦는 로봇을 전시했다. 유선인 이 제품은 로봇이 흡입력을 이용해 유리에 붙어 이리저리 움직이며 얼룩을 닦아나가는 구조다. 제품을 시연하는 직원은 유리에 수성펜으로 낙서를 했고, 이 로봇은 이곳저곳을 돌며 펜의 흔적을 지웠다. 비가 온 뒤 얼룩진 창문이 보기 흉해 늘 청소를 고민했던 고객이라면 눈의 번쩍 뜨일만한 제품이다.직원이 다가와 로봇에 대해 설명했다. 강력한 흡입력으로 최대 5㎏까지 버틸 수 있으며 그럴 가능성은 없겠지만 추락을 방지해 안전을 위해 선을 묶어 청소하면 된다는 소개도 이어졌다.흡입력을 확인하기 위해 실제 청소 중인 제품을 강제로 떼어내려고 하니 쉽게 떨어지지 않을 정도였다. 가격이 정해졌느냐고 물어보니 250달러에 판매 중이라고 했다.인상적인 제품이라고 생각하고 돌아서려는 순간 점원이 기자를 다급하게 불렀다. 이 관계자는 “원한다면 110달러에 제공할 수 있다”며 명함을 내밀었다.◆“한 번에 빨래하라고 통돌이를 하나 더 추가했지요”중국에서도 드럼세탁기와 전자동(통돌이) 세탁기가 한 몸체에 있는 제품이 쏟아져 나왔고 일부는 삼성전자의 ‘플렉스 워시’와 LG전자의 ‘트윈워시’높은 기술력을 갖췄다고 자부한다. 하이센스에서는 하단에는 드럼, 상단에는 통돌이 세탁기가 좌우로 두 개가 나란히 장착된 제품을 선보였다. 하이센스 관계자는 “세계 최고의 기술력으로 세탁기에 모터를 세 개나 달 수 있었다”며 “세 모터가 한 번에, 혹은 따로 따로 작동시킬 수 있는 만큼 빨래시간이 줄여줄 것”이라고 말했다.다른 중국 기업인 하이얼에서도 2단 세탁기를 선보였다. 아래는 드럼, 위에도 드럼이다. ◆“티 테이블이지만 냉장고입니다”큰 음악이 흘러나오는 곳에 한 중국업체의 독특한 제품이 있었다. TV장식장 형태였다. TV와 연결해 보다 나은 음악을 들을 수 있는 장식장 정도로 이해했다.이 업체 관계자가 다가와 “냉장고가 결합된 티 테이블에 스피커를 추가했다”며 “음악과 함께 차를 마시고 과일 등을 먹기 때문에 이 모든 것을 움직이지 않고 할 수 있도록 구성했다”고 설명했다. 서랍을 여니 냉장고가 나왔다.TV장식장으로 사용할 수 있느냐고 묻자 “사용이 가능하지만 위에 너무 무거운 물건을 장시간 올려두는 것은 추천하지 않는다”며 “냉장고 위에 왜 TV를 올려놓으려고 하는지 이해하지 못 하겠다”고 말했다.“티 테이블에 TV를 올려놓는 경우도 있지 않느냐”고 반문하자 “티 테이블이기도 하지만 냉장고”라며 “거실 중앙에 두고 집에 찾아온 손님들과 함께 앉아서 차 마실 때 사용하기 안성맞춤”이라고 소개했다.이 제품은 전력이 필요한 만큼 전선이 필요하다. 거실 중앙에 두면 청소하거나 지나다닐 때 불편할 것 같았다. 하지만 티 테이블과 냉장고, 스피커의 조합은 나쁘지 않았다. ◆중국 TV, 느낌은 짝퉁…품질은 발전중국업체들의 TV를 보면 한국제품인가 싶을 정도다. 현장에서도 이름과 디자인이 글로벌 브랜드 제품과 유사해 ‘짝퉁’ 느낌이 난다고 입을 모았다. 하지만 이들은 품질 역시 세계 최고 수준인 글로벌 브랜드를 닮아가고 있다고 평가했다.\xa0이번 IFA에도 하이센스나 TCL 등 중국의 대표 브랜드들이 TV를 전시했다. 베젤이 없는 TV 디자인은 국내에서 출시한 제품과 닮았다. 제품에는 ‘ULED’나 ‘ALED’ 등의 이름이 붙었다. 빔 프로젝트를 사용해 100인치 화면을 구현했다며 ‘레이저 TV’라는 상품도 등장했다. 물론 이 제품은 어두운 곳에서 더 잘 보인다.반면 화질에서는 큰 발전을 이뤘다는 평가가 나온다. 7680×4320 화소의 해상도를 구현할 수 있는 8K 제품을 상용화 했다. 명암비 극대화 기술인 HDR도 적용됐다.중국 TV를 유심히 살피던 일본 업체 한 관계자는 “화질 등에서 엄청난 발전을 이뤄 더 이상 무시할 수 있는 수준이 아닌 것 같다”며 “일본과 비슷한 수준인 가격대가 어느정도 내려간다면 위협이 될지 모르겠다”고 평가했다.베를린=정필재 기자 rush@segye.comⓒ 세상을 보는 눈, 글로벌 미디어 세계일보세계일보 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.환경미화원 아들 산재 다투는 법정서 눈물 떨군 父情263일동안 물 교체 없이 그대로 사용한 수영장분만실에 들어와 며느리 출산과정 구경한 시어머니""언니 미안해요. 언니 남자친구를 좋아해요""""띠동갑 아내가 딸 같습니다"" 남편 글에 시끌좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
5,삼성전자, 2017-09-0214:28,이데일리 ,[포토]'기어스포츠' 실감나는 체험,https://finance.naver.com/news/news_read.nhn?article_id=0003913491&office_id=018&mode=search&query=삼성전자&page=1,"['       [포토]\'기어스포츠\' 실감나는 체험      기사입력2017-09-02 14:28기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글- IFA2017 삼성전자 부스독일 베를린에서 열리는 국제가전박람회 IFA2017 삼성전자 전시장 내 체육관처럼 꾸며진 전용 체험 공간에서 관람객들이 최신 스마트워치 ‘기어 스포츠’의 피트니스 기능을 체험해보고 있다. 삼성전자 제공관람객들이 독일 베를린에서 열리는 국제가전박람회 IFA2017 삼성전자 전시장 내 체육관처럼 꾸며진 전용 체험 공간에서 최신 스마트워치 ‘기어 스포츠’의 피트니스 기능을 체험해보고 있다. 삼성전자 제공경계영 (kyung@edaily.co.kr)▶사진으로 보는 핫이슈▶[페이스북] 보러가기~♥ | [카카오톡] 플친 맺기~♥＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.한국VS이란 축구가 JTBC에서 중계된 까닭?갤노트8·V30, 게임체인저 될까…시장은 \'글쎄\'[통신비 다이어트]①단말기 할부로 샀다면 완납부터미국 언론 ""한국내 \'코리아 패싱\' 우려 확산""김장겸 체포영장에 한국당 \'화들짝\' 왜좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
6,삼성전자, 2017-09-0214:11,이데일리 ,"[포토]""세탁 시간 절반으로"" 설명 듣는 관람객들",https://finance.naver.com/news/news_read.nhn?article_id=0003913479&office_id=018&mode=search&query=삼성전자&page=1,"['       [포토]""세탁 시간 절반으로"" 설명 듣는 관람객들      기사입력2017-09-02 14:11기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글- IFA2017 삼성전자 부스독일 베를린에서 열리는 국제가전박람회 IFA2017 삼성전자 전시장에서 관람객들이 세탁 시간을 절반으로 줄여주는 세탁기 신제품 ‘퀵드라이브’에 대한 설명을 듣고 있다. 삼성전자 제공이재운 (jwlee@edaily.co.kr)▶사진으로 보는 핫이슈▶[페이스북] 보러가기~♥ | [카카오톡] 플친 맺기~♥＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.한국VS이란 축구가 JTBC에서 중계된 까닭?갤노트8·V30, 게임체인저 될까…시장은 \'글쎄\'[통신비 다이어트]①단말기 할부로 샀다면 완납부터미국 언론 ""한국내 \'코리아 패싱\' 우려 확산""김장겸 체포영장에 한국당 \'화들짝\' 왜좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
7,삼성전자, 2017-09-0214:10,이데일리 ,[포토]삼성 무선 핸디스틱 청소기 살펴보는 관람객,https://finance.naver.com/news/news_read.nhn?article_id=0003913478&office_id=018&mode=search&query=삼성전자&page=1,"['       [포토]삼성 무선 핸디스틱 청소기 살펴보는 관람객      기사입력2017-09-02 14:10기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글- IFA2017 삼성전자 부스독일 베를린에서 열리는 국제가전박람회 IFA2017 삼성전자 전시장에서 한 관람객이 업계 최고의 150W 흡입력과 인체공학 설계로 신체 부담을 줄여주는 프리미엄 무선 청소기 신제품 ‘파워건’을 체험해보고 있다. 삼성전자 제공경계영 (kyung@edaily.co.kr)▶사진으로 보는 핫이슈▶[페이스북] 보러가기~♥ | [카카오톡] 플친 맺기~♥＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.한국VS이란 축구가 JTBC에서 중계된 까닭?갤노트8·V30, 게임체인저 될까…시장은 \'글쎄\'[통신비 다이어트]①단말기 할부로 샀다면 완납부터미국 언론 ""한국내 \'코리아 패싱\' 우려 확산""김장겸 체포영장에 한국당 \'화들짝\' 왜좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
8,삼성전자, 2017-09-0213:54,MBN ,2분기 국내총투자율 5년 만에 최고…설비투자 확대,https://finance.naver.com/news/news_read.nhn?article_id=0001170133&office_id=057&mode=search&query=삼성전자&page=1,"['       2분기 국내총투자율 5년 만에 최고…설비투자 확대      기사입력2017-09-02 13:54기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 반도체 등 IT(정보통신) 중심으로 설비투자가 확대되며 2분기 국내총투자율이 5년 만에 최고를 기록했습니다.2일 한국은행에 따르면 2분기 국내총투자율은 31.5%로 2012년 2분기(31.8%) 이래 가장 높습니다.국내총투자율은 기업들이 국내에 설비투자나 건설투자 등 투자한 추이를 보여주는 지표입니다. 국외투자율과는 반대 흐름을 보입니다.2분기 국내 설비투자는 작년 동기대비 17.3% 증가했습니다.반도체제조용 장비 등 기계류가 작년 동기대비 26.7% 증가하며 설비투자 확대를 주도했습니다.운송장비는 작년 동기보다 0.5% 줄었지만, 항공기와 자동차 등을 중심으로 전분기 보다는 8.7% 늘었습니다.상반기 전체로는 설비투자가 작년 동기대비 15.9% 늘었습니다. 1분기 증가율은 14.4%였습니다.SK하이닉스[000660]는 D램과 낸드플래시 생산능력 증대를 위해 올해 역대 최대인 9조6천억 원을 투자할 계획입니다.당초 7조 원 계획을 연초에 밝혔으나 7월 말에 2조6천억 원을 더 한다고 밝혔습니다.삼성전자[005930]도 올해 상반기 반도체 부문 시설투자에 12조5천200억 원을 집행했습니다. 이는 작년 연간치(13조1천500억원)에 육박하는 규모입니다.국내총투자율은 작년 1분기에는 27.9%까지 떨어지며 글로벌 금융위기로 세계 경기가 얼어붙었던 2009년 1분기(25.4%)와 2분기(26.7%) 이래 최저를 기록한 바 있습니다.국내 설비투자가 늘면서 2분기 국외투자율은 4.2%로 2012년 2분기(2.9%) 이래 최저였습니다.국외투자율은 작년 1분기에 8.5%까지 올라갔습니다.지난해에는 설비투자가 전년보다 2.3% 감소하며 부진했습니다. 2015년에는 4.7% 증가했습니다.전기, 가스 및 수도사업이 11.4%로 전년 대비 감소폭이 가장 컸고 농림어업 6.9%, 광업·제조업 3.0%, 서비스업 0.5% 등으로 감소했습니다. 건설업만 3.9% 늘었습니다.제조업 중에 기계 및 장비(-15.2%), 금속제품(-13.6%) 등 대부분이 감소했습니다. 다만, 전기 및 전자기기(3.7%)와 운송장비(0.6%)는 증가세를 유지했습니다.서비스업에서는 부동산 및 임대(8.3%)와 공공행정 및 국방(8.4%)만 눈에 띄게 증가했습니다.운수 및 보관(-5.5%), 도소매 및 음식숙박(-3.6%) 등은 설비투자가 감소했습니다.[MBN 뉴스센터 / mbnreporter01@mbn.co.kr] < Copyright ⓒ MBN(www.mbn.co.kr) 무단전재 및 재배포 금지 >MBN 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.민원인 개인정보 공개한 공무원…익명성 보장 \'뒷전\'北대사 내쫓은 멕시코…""72시간 안에 떠나라""카리브 해 초토화…허리케인 \'어마\' 북상여인숙서 옷 벗기고…끝나지 않은 10대 폭행[단독] 개그맨 신종령, 기절한 사람에게 주먹질좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
9,삼성전자, 2017-09-0213:52,이데일리 ,"[포토]""기어VR에 모션 콘트롤러 더하니 더 실감나네""",https://finance.naver.com/news/news_read.nhn?article_id=0003913474&office_id=018&mode=search&query=삼성전자&page=1,"['       [포토]""기어VR에 모션 콘트롤러 더하니 더 실감나네""      기사입력2017-09-02 13:52기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글- IFA2017 삼성전자 부스독일 베를린에서 열리는 국제가전박람회 IFA2017 삼성전자 전시장 내에 마련된 모바일존에서 한 관람객이 가상현실(VR) 헤드셋 기어VR과 전용 콘트롤러를 이용해 360도 입체 영상을 체험해보고 있다. 삼성전자 제공경계영 (kyung@edaily.co.kr)▶사진으로 보는 핫이슈▶[페이스북] 보러가기~♥ | [카카오톡] 플친 맺기~♥＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.한국VS이란 축구가 JTBC에서 중계된 까닭?갤노트8·V30, 게임체인저 될까…시장은 \'글쎄\'[통신비 다이어트]①단말기 할부로 샀다면 완납부터미국 언론 ""한국내 \'코리아 패싱\' 우려 확산""김장겸 체포영장에 한국당 \'화들짝\' 왜좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
