,회사명,날짜,언론사,기사제목,링크,본문
0,삼성전자, 2017-09-0823:49,매일경제 ,"美 캐피털그룹, 삼성전자 지분 5.2%→4.6%",https://finance.naver.com/news/news_read.nhn?article_id=0004011336&office_id=009&mode=search&query=삼성전자&page=1,"['       美 캐피털그룹, 삼성전자 지분 5.2%→4.6%      기사입력2017-09-08 23:49기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글주가 상승 따른 차익실현인듯…외국자본 이탈 신호탄 분석도삼성전자의 3대 주주인 미국 자산운용사 더캐피털그룹컴퍼니스가 최근 삼성전자 주식을 팔아 해당 지분율이 4%대로 떨어진 것으로 나타났다. 올 들어 크게 오른 주가 덕분에 차익실현을 했다는 분석이 주류를 이루지만 일부에서는 삼성전자 총수인 이재용 부회장 구속 사태 이후 외국계 자본 이탈의 신호탄이 아니냐는 의견도 나오고 있다. 8일 더캐피털그룹컴퍼니스는 국내 법무법인을 통해 삼성전자 보유 지분율이 지난 6월 20일 기준 5.24%(684만2590주)에서 지난 4일 기준 4.65%(607만2540주)로 감소했다고 공시했다. 더캐피털그룹은 지난 5월 삼성전자 지분 보유 현황을 최초로 공개하면서 국민연금공단(9.24%) 삼성생명(7.89%)에 이어 3대 주주가 됐다. 더캐피털그룹은 현대차의 경우 정몽구 회장(5.17%)을 제치고 3대 주주에 올랐고, LG유플러스와 아모레퍼시픽은 각각 3대 주주, 4대 주주에 이름을 올렸다.현재 각 업체 시가총액을 고려한 더캐피털그룹의 보유 기업 지분가치는 총 20조원 수준이다. 지분 5% 미만 보유로 공시하지 않은 기업까지 감안하면 투자 규모는 이보다 클 것으로 추정된다. 더캐피털그룹은 1931년 미국 로스앤젤레스(LA)에서 출범한 자산운용사다. 지난해 8월 기준 운용자산은 약 1조5000억달러(1720조원)에 달한다. 이 그룹은 2000년대 초반부터 삼성전자를 비롯해 SK하이닉스 LG화학 현대차 LS 등 코스피에 상장된 국내 주요 기업에 투자해왔다.  [문일호 기자][매일경제 공식 페이스북] [오늘의 인기뉴스] [매경 프리미엄][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.고원희, 과감한 드레스로 차에서 내리다…""큰일 날 뻔""[단독] 이마트 20년만에 철수…악몽의 中國사업현아·선미 화보…\'비교 불가 각선미\'美 최첨단 헬기가 드디어 한반도에…금나나, 하버드-MIT 동시합격한 뇌섹女 \'비키니 몸매\'좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
1,삼성전자, 2017-09-0820:39,한국경제 ,대만 간 '더 프레임'…갤러리야? 카페야?,https://finance.naver.com/news/news_read.nhn?article_id=0003821012&office_id=015&mode=search&query=삼성전자&page=1,"['       대만 간 \'더 프레임\'…갤러리야? 카페야?      기사입력2017-09-08 20:39기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글삼성전자가 액자형 TV ‘더 프레임’을 대만 시장에 출시했다고 8일 밝혔다. 더 프레임은 TV가 꺼져 있을 때 그림, 사진과 같은 예술작품을 보여주는 기능을 갖춘 게 특징이다. 삼성전자는 출시 기념으로 이날부터 한 달간 대만 프랜차이즈 카페 ‘푸진트리’의 한 매장에 더 프레임을 감상할 수 있는 체험 공간을 운영한다고 밝혔다.삼성전자 제공[한경닷컴 바로가기] [글방] [모바일한경 구독신청] ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지한국경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""4분기 16조 넘는다""…삼성전자 실적전망 \'고고\'(마감)삼성전자 245만4000원…2.00%↑""입학금 폐지 절대 안돼"" 발칵 뒤집어진 대학이…애플 제치고 삼성 추격하는 회사가…\'반전 사실\'11시간 만에 7억 대박…\'뭉칫돈\' 몰린다좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
2,삼성전자, 2017-09-0820:38,조세일보 ,"한국동서발전, 코리아 챔피언상 수상",https://finance.naver.com/news/news_read.nhn?article_id=0002169187&office_id=123&mode=search&query=삼성전자&page=1,"[""        한국동서발전, 코리아 챔피언상 수상      기사입력2017-09-08 20:38기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글한국동서발전(사장 직무대행 박희성)는 아세안 및 한·중·일 3개국 정부 및 기업 관계자들이 참석한 가운데 지난 7일 인도네시아 자카르타에서 개최된 '제3회 아세안 마케팅 서밋'에서 인도네시아 어워드 부문 '코리아 챔피언' 기업으로 선정되는 성과를 거두었다고 8일 밝혔다.아세안 마케팅 서밋은 아세안 국가들의 주요 경제 이슈들을 논의하는 아세안 산하 회의체이다. 이번 행사는 아세안 발족 50년을 맞아 동북아를 대표하는 한국·일본·중국과 아세안 국가 간 협력관계를 조명하는 자리로 'New Opportunities from the East'라는 주제로 개최됐다. 이번 서밋에서 동서발전의 인도네시아 칼셀(Kalsel-1)사업은 인도네시아 정부부처로부터 투자·인력관리·사회공헌·경영관리 등 다양한 분야에서 높은 점수를 받아 삼성전자와 함께 인도네시아 내 최우수 한국 투자사업으로 선정됐다.인도네시아 칼셀(Kalsel-1)사업은 동서발전과 아다로(Adaro) 그룹의 공동투자를 통해 추진되고 있으며 지난 1월 재원조달 종결 후 2019년 3월 상업운전 달성을 목표로 건설 중인 200㎿(100㎿×2)급 순환유동층(CFBC) 석탄화력 사업이다. 순환유동층보일러(CFBC)는 지속적으로 열을 순환시켜 석탄을 완전연소시키는 친환경 발전설비다.준공 후 25년간 인도네시아 전력공사와의 안정적인 전력판매계약(PPA)를 통해 약 27억달러의 매출을 달성할 것으로 예상된다.▶ [HOT]당신의 10분 몸 만들기...황현정기자의 쭉쭉빵빵▶ [HOT]세무·회계 실무, 맞춤형 교육 '조세일보 재무교육원'..임순택(kookje@joseilbo.com)저작권자 ⓒ 조세일보(http://www.joseilbo.com). 무단전재 및 재배포 금지조세일보 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.선혈 낭자한 화면, 시각적 공포 선사…무서운 장면 없이 무서운 영화 소름다시 봐도 오싹한 싸이코·할로윈…폭염도 혼비백산여고괴담·주온·디 아이…오싹한 亞 귀신들가요계 컴백대전…클론·터보·이효리 등 여름사냥 본격 시동복제인간·검찰비리·미래사회…안방극장 장르물 열풍좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :""]"
3,삼성전자, 2017-09-0819:22,서울경제 ,[서울경제TV] 반도체주 부진 딛고 부활··· 하반기 전망 맑음,https://finance.naver.com/news/news_read.nhn?article_id=0003108711&office_id=011&mode=search&query=삼성전자&page=1,"['       [서울경제TV] 반도체주 부진 딛고 부활··· 하반기 전망 맑음      기사입력2017-09-08 19:22기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 반도체 관련 IT주 하반기 실적 기대에 회복세한화證 ‘삼성 3분기 반도체 영업익 9조 8,000억원’동부·흥국證, 삼성 3분기 영업익 추정치 상향 조정“SK하이닉스 반도체 부문 수익 크게 늘 것”[서울경제TV] [앵커]오너 리스크와 대북 관련 위험 등으로 한동안 주춤하던 반도체 관련 종목이 다시 기지개를 켜고 있습니다. 특히 삼성전자와 SK하이닉스는 기관과 외국인의 매수세에 힘입어 빠르게 주가를 회복하고 있는데요. 전문가들은 반도체 업황이 여전히 좋아 하반기에도 반도체 관련 기업들의 주가가 오름세를 보일 것으로 전망합니다. 김성훈기자가 보도합니다. [앵커]대북 관련 위협과 경제 전망에 대한 우려로 코스피는 아직 횡보하고 있지만 코스피 시장에서의 반도체 관련 대장주들은 다시 활기를 띠고 있습니다.지난달 11일 221만 1,000원까지 떨어졌던 삼성전자의 주가는 오늘 2% 상승한 245만 4,000원에 마감됐습니다.개인과 외국인이 팔자 기조를 보였지만 기관이 4거래일 연속 순매수를 보이면서 주가를 끌어올렸습니다.SK하이닉스도 오늘 1.68% 오른 7만 2,600원에 장을 마쳤습니다.외국인과 기관의 5거래일 째 이어지는 매수세로 꾸준히 주가를 회복하는 모습입니다.이처럼 반도체 관련 IT주가 다시 회복세를 보이는 것은 반도체 시장 활황으로 하반기에도 높은 실적을 낼 것으로 예상되기 때문입니다.한화투자증권은 “반도체 가격이 연말까지 견조한 흐름을 유지할 것으로 보인다”며 삼성전자의 3분기 반도체 영업이익이 전 분기보다 1조7,000억원 증가한 9조 8,000억원에 달할 것으로 예상했습니다.동부증권과 흥국증권도 반도체 이익 증가를 이유로 꼽으며 삼성전자의 3분기 영업이익 추정치를 각각 14조원·14조5000억원으로 상향 조정했습니다.동부증권은 “지난 8월까지 정치적인 이슈로 주가가 억눌렸지만 다시 펀더멘털에 관심이 집중될 것”이라며 “펀더멘털 하면 반도체 그리고 삼성전자”라고 강조했습니다.SK하이닉스에 대해서도 하반기 실적이 시장 예상치를 능가해 주가도 오름세를 보일 것이라는 전망이 나옵니다.메리츠종금증권은 “디램(DRAM)과 낸드(NAND) 등 SK하이닉스의 반도체 부문 수익이 크게 늘 것으로 예상한다”며 SK하이닉스의 3분기와 4분기 영업이익을 각각 3조 9,000억원·4조 2,000억원으로 설정했습니다./김성훈기자 bevoice@sedaily.com[영상취재 강민우 / 영상편집 소혜영][서울경제 바로가기]1997년 이래 대한민국 최고의 과학자 DB [바로가기]서울경제의 모든 연재물!... 서경Cube [바로가기▶]저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지서울경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.文대통령 ""부산발 열차가 런던까지 가는 세상 물려주고파""文대통령, 다음주 여야 대표 초청 회동 추진검찰, 가수 길에 징역 8월 구형···""어떤 벌이라도 달게 받겠다""멕시코 해상 8.0 강진···태평양 연안국가 쓰나미 경고""압축공기로 건물 띄운다""···日 신개념 지진 대책 눈길좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
4,삼성전자, 2017-09-0819:19,서울경제 ,[서울경제TV] 갤럭시노트 8··· 예판 하루만에 40만대 기록,https://finance.naver.com/news/news_read.nhn?article_id=0003108707&office_id=011&mode=search&query=삼성전자&page=1,"['       [서울경제TV] 갤럭시노트 8··· 예판 하루만에 40만대 기록      기사입력2017-09-08 19:19기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글[서울경제TV] [앵커] 삼성전자의 갤럭시노트 8이 사전 판매 하루 만에 40만대에 가까운 예약 판매율을 보였습니다. 지난 해 불거진 갤럭시노트7의 배터리 발화 사고로 무너진 소비자들의 신뢰를 노트 8 제품으로 한번에 만회한 것이라는 해석도 나옵니다. 김상용기자가 보도합니다.[기자] 삼성전자의 갤럭시노트 8이 예약 판매 하루 만에 주문량이 39만 5,000대를 기록했습니다. 삼성전자의 스마트폰 중 처음으로 100만원이 넘는 가격이지만 소비자들은 폭발적인 반응을 보인 것입니다.삼성전자의 과거 스마트폰 예약 판매 기록을 보면 갤럭시노트8의 인기는 더욱 돋보입니다.삼성전자는 지난 해 9월 갤럭시노트7 예약 판매 당시 이틀만에 20만대의 예약 기록을 보였습니다. 하루에 10만대꼴의 예약률과 비교하면  노트 8은 노트 7보다 4배 가까운 인기를 모으고 있는 중입니다.갤럭시S7 출시 당시에도 이틀동안 55만대의 판매 기록을 올려 하루에 27만대꼴로 예약이 이뤄졌습니다. 노트 8이 하루만에 39만5,000대인 점을 감안하면 노트 8이 S7의 예약 판매 기록도 갈아치운 셈입니다.특히 갤럭시노트8 예약 소비자들은 256GB 모델을 선택한 비율이 35%에 달해 갤럭시S8의 25%비율보다 높은 비율을 보였습니다. 메모리 용량이 높아질 수록 가격도 높아지지만 소비자들은 대용량 메모리를 갖춘 스마트폰을 선호하고 있는 것으로 해석됩니다.이 같은 인기의 비결은 갤럭시노트 7의 배터리 발화 사고와 회수 조치로 누적된 대화면 스마트폰 대기 수요자 때문으로 풀이됩니다. 국내에서의 이 같은 인기를 바탕으로 글로벌 시장에서도 인기를 누릴 것으로 예상됩니다.예약 판매가 호조를 보이면서 증권가에서는 갤럭시노트 8의 올 하반기 출하량이 1,000만대에 달할 것이라는 낙관적인 전망도 나오고 있습니다. 애플이 조만간 아이폰 8 발표와 출시를 앞두고  있는 상황에서 갤럭시노트 8의 인기가 언제까지 이어질 지 기대됩니다. /김상용기자 kimi@sedaily.com [서울경제 바로가기]1997년 이래 대한민국 최고의 과학자 DB [바로가기]서울경제의 모든 연재물!... 서경Cube [바로가기▶]저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지서울경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.文대통령 ""부산발 열차가 런던까지 가는 세상 물려주고파""文대통령, 다음주 여야 대표 초청 회동 추진검찰, 가수 길에 징역 8월 구형···""어떤 벌이라도 달게 받겠다""멕시코 해상 8.0 강진···태평양 연안국가 쓰나미 경고""압축공기로 건물 띄운다""···日 신개념 지진 대책 눈길좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
5,삼성전자, 2017-09-0818:34,연합뉴스 ,"더캐피탈그룹컴퍼니스 ""삼성전자 지분율 4.65%로 감소""",https://finance.naver.com/news/news_read.nhn?article_id=0009533152&office_id=001&mode=search&query=삼성전자&page=1,"['       더캐피탈그룹컴퍼니스 ""삼성전자 지분율 4.65%로 감소""      기사입력2017-09-08 18:34기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 (서울=연합뉴스) 유현민 기자 = 미국 자산운용사인 더캐피탈그룹컴퍼니스(The Capital Group Companies, Inc.)는 삼성전자의 보유 지분율이 지난 6월20일 기준 5.24%(684만2천590주)에서 지난 4일 기준 4.65%(607만2천540주)로 감소했다고 8일 공시했다.    hyunmin623@yna.co.kr기자가 기다려요. 기사 문의 및 제보는 여기로(클릭!)최신 유행 트렌드 총집결(클릭!)연합뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.\xa0곽현화 동의없이 \'상반신 노출\' 공개 감독 2심도 무죄\xa0\'타인 신분증으로 술집 출입\' 여고생, 경찰 조사중 투신\xa0결혼 한달만에 \'아내 성폭행\' 남편에 징역 7년\xa0""선생님, 가방 뒤지지 마세요"" vs ""담배 적발 어떻게?""\xa0주중대사관, ""김치먹고 멍청해졌다""는 막말비난에 항의좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
6,삼성전자, 2017-09-0818:18,국민일보 ,[여의도 stock] 더 강한 사드 보복 우려 업종 급락,https://finance.naver.com/news/news_read.nhn?article_id=0001025093&office_id=005&mode=search&query=삼성전자&page=1,"['       [여의도 stock] 더 강한 사드 보복 우려 업종 급락      기사입력2017-09-08 18:18기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글중국이 강력한 ‘사드 보복’을 할 것이라는 불안감이 주식시장을 짓눌렸다. 코스피지수는 반등한 지 하루 만에 내리막을 탔다. 코스피지수는 8일 2.47포인트 하락한 2343.72로 거래를 마쳤다. 개인이 449억원, 외국인은 135억원을 순매수했지만 기관이 822억원을 순매도하면서 지수 하락을 이끌었다. 2350선을 탈환하며 상승 출발했지만 곧바로 ‘사드 우려감’이 번지면서 하락 반전했다. 서상영 키움증권 연구원은 “자동차, 면세점, 화장품 등 중국의 보복이 우려되는 업종 주가가 크게 떨어져 지수 하락으로 이어졌다”고 말했다. 중국 관영매체 글로벌타임스가 ‘현대자동차와 중국 파트너인 베이징자동차의 합자 관계가 끝날 수 있다’고 보도하면서 현대차그룹의 상장사 주가는 줄줄이 하락했다. 현대모비스는 4.66%나 떨어졌다. 현대차(-1.81%), 현대제철(-1.45%) 등도 내렸다. 아모레퍼시픽(-4.63%), LG생활건강(-2.37%), 에이블씨엔씨(-6.46%) 등 화장품·면세점 기업의 주가도 일제히 주저앉았다. 반면 전기·전자 업종은 1.5% 오름세를 보였다. 시장 전문가들은 “삼성전자의 갤럭시 노트8 사전예약 판매, 반도체 업종 영업이익 기대감이 투자심리를 자극했다”고 분석했다. 삼성전자(2.00%), SK하이닉스(1.68%) 등이 상승했다. 카카오는 일본 도쿄 증시 상장을 추진한다는 소식에 1.97% 오른 12만9500원으로 거래를 끝내면서 종가 기준 신고가를 기록했다. 장중 한때 13만원까지 뛰면서 장중 최고치도 갈아치웠다. 안규영 기자 kyu@kmib.co.kr[국민일보 홈페이지] [페이스북][취재대행소 왱!(클릭)]GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지국민일보 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.보수의 싸움?…하태경, 정진석에 ""죽여보라""면역력 떨어지는 가을철 불청객 알레르기결막염 급증 비상[단독] 김상조 ""이재용, 미전실 해체로 형량감경 생각했다면 스튜핏""친정엄마 생각하며 운다고 아내 강간…50대 男 징역 7년\'돈길\'만 걷는 메이웨더, 1억자리 잭팟 당첨좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
7,삼성전자, 2017-09-0818:14,파이낸셜뉴스 ,상장사 3분기 실적 증가 전망… 증시 상승 힘받나,https://finance.naver.com/news/news_read.nhn?article_id=0003871582&office_id=014&mode=search&query=삼성전자&page=1,"['       상장사 3분기 실적 증가 전망… 증시 상승 힘받나      기사입력2017-09-08 18:14기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글코스피 188곳 영업이익 작년 3분기보다 52% 성장미국 경제지표도 양호                     3.4분기 기업 실적이 코스피 조정장의 돌파구가 될 수 있을지 관심이 쏠리고 있다. 북핵 리스크가 있는 상황이지만 3.4분기에 예상되는 기업들의 호실적이 반등의 모멘텀이 될 수 있다는 분석이다.8일 금융정보업체 와이즈에프엔이 3곳 이상의 기관에서 집계해 평균치를 낸 오는 3.4분기 코스피 188곳의 영업이익 합계는 48조9474억원이다. 이는 3개월 전 집계한 48조2464억원보다는 높은 수치다. 다만 한 달 전 코스피가 슈퍼호황을 맞은 시기에 집계했던 49조1868억원보다는 적다.지난해 3.4분기 코스피 188곳의 영업이익 합계치는 34조2683억원을 기록했다. 현재 집계된 수치로 보면 올해 3.4분기 영업이익은 전년 동기보다 51.7% 성장했다.직전 분기인 올해 2.4분기 영업이익 합계는 44조8895억원을 기록했다. 코스피 2.4분기 영업이익 역시 전년 동기 대비 20% 상승하는 등 양호했던 점을 감안하면 3.4분기 호실적에 대한 시장의 기대감이 높아질 수밖에 없는 상황이다.이 때문에 전문가들은 북한의 핵실험 위협이 줄어들고 미국과의 화해 분위기가 조성될 3.4분기 실적발표 시즌이 코스피가 다시 반등할 기회라고 보고 있다.조용준 하나금융투자 리서치센터장은 ""9월까진 증시 변동성이 있지만 3.4분기는 지난해 삼성전자 갤럭시노트7 폭발 사고와 대우조선해양 사태로 기저효과가 좋을 것""이라고 말했다.무엇보다 코스피 대장주인 삼성전자의 3.4분기 실적 전망도 밝다.이민희 흥국증권 연구원은 ""삼성전자의 3.4분기 영업이익 추정치를 기존의 14조1000억원에서 14조5000억원으로 상향 조정한다""며 ""메모리 실적이 예상보다 더 좋은 것과 OLED 실적이 우려와 달리 소폭 감소에 그칠 것으로 보기 때문""이라고 밝혔다.어규진 이베스트투자증권 연구원 역시 ""삼성전자는 LCD패널 부진에도 아이폰8 출시에 따른 플렉시블 OLED 패널의 판매 증가로 디스플레이 부문은 우려한 것보다 견조한 수익성을 유지할 전망""이라고 말했다.여기에 3.4분기는 국내 증시에 영향을 미치는 미국의 경제지표도 양호할 것으로 보인다. 미국 경제지표가 호조를 보이는 것은 미국의 기준금리 인상 시기가 빨라질 수 있다는 점에서 증시에 악재가 될 수 있지만, 전반적인 경제가 개선돼 기업 이익에 긍정적 영향을 준다는 측면에서는 호재가 될 수 있다. 미국 상무부는 이날 미국 2.4분기 국내총생산(GDP) 성장률 잠정치(계절 조정치)가 연율 3.0%라고 발표했다. 이는 2015년 1.4분기 이후 가장 높은 수치다. 여기에 3.4분기 경제지표도 양호할 전망이다. 미국의 8월 민간부문 고용도 거의 모든 분야의 일자리 증가로 월가 예상치를 크게 웃도는 호조를 보였다. ADP 전미고용보고서에 따르면 8월 민간부문 고용은 23만7000명 늘며 5개월래 가장 크 수치를 기록했다.pja@fnnews.com 박지애 기자     ▶ 세상의 모든 골 때리는 이야기 \'fn파스\'▶ 속보이는 연예뉴스 fn스타  ※ 저작권자 ⓒ  파이낸셜뉴스. 무단 전재-재배포 금지파이낸셜뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.남성 2명과 모텔 갔다가 딱걸린 여자친구.. 최후의 선택\'유병언 최측근\' 탤런트가 8년간 챙긴 수상한 돈\'임지현 입북\' 미스터리, 중국인 남편이 밝힌 놀라운 진실7시간 폭행 후 해수욕장 끌고 가.. 동영상 \'끔찍\'커피 하루에 4잔 마시면 당뇨병 예방 가능한 이유좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
8,삼성전자, 2017-09-0818:08,머니투데이 ,"[상생협력]맥널티, 원두커피에 크림을 더한 아이브루라떼 선보여",https://finance.naver.com/news/news_read.nhn?article_id=0003932349&office_id=008&mode=search&query=삼성전자&page=1,"[""       [상생협력]맥널티, 원두커피에 크림을 더한 아이브루라떼 선보여      기사입력2017-09-08 18:08기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 [머니투데이 상생협력팀 함혜강 에디터  ] [편집자주] ※ 머니투데이는 삼성전자상생협력센터와 함께 유망 중소기업의 판로확대를 위한 상생기획을 연중 진행합니다. 차세대 성장동력 기업의 서비스와 상품, 기업 스토리 등을 3개국어(국문, 영문, 중문)로 전세계에 확산·유통시키는 기획입니다. 동반성장위원회가 후원합니다.원두커피 기업 한국맥널티의 인스턴트 원두커피 브랜드 ‘아이브루(iBrew)’가 우유 크리머가 더해진 신제품 ‘아이브루 예가체프 라떼(iBrew Yirgacheffe latte)’를 출시했다고 8일 밝혔다. 아이브루 예가체프 라떼는 커피전문점의 커피를 언제든지 간편하게 즐길수 있도록 인스턴트커피로 출시되었다. 소비자 개인의 기호와 취향까지 섬세하게 고려하여 원두 함유량에 따라 아이브루 예가체프 라떼(커피 함량 8.26%), 아이브루 예가체프 라떼 더블샷(커피 함량 10.88%)  2가지로 선택할 수 있다.최근 젊은 여성층 사이에서 많이 찾는 ‘원두커피’ 바람을 그대로 이어, 에티오피아 예가체프 원두와 천연 카제인에 우유 크리머 원료를 더해 한결 더 은은향과 깊고 부드러운 풍미를 자아냈다는 점이 차별화 포인트라고 맥널티 측은 설명했다.아이브루 예가체프 라떼 /사진제공= 맥널티한국맥널티는 “이번 신상품 런칭을 교두보로 하여, 우수한 품질의 원두 카테고리에서 고품격 믹스커피 상품군에 이르기까지 한층 더 다양해진 카테고리를 보유한 커피 전문기업으로 도약을 위해 끊임없는 연구개발 및 투자를 진행할 계획”이라고 밝혔다.상품기획 매니저는 이번 ‘아이브루 예가체프 라떼’ 출시와 함께 많은 대중들이 맥널티의 제품을 체험해볼 수 있도록, 페이스북 등 SNS를 통해 온라인 프로모션을 진행하여 소비자의 니즈에 한층 더 가깝게 다가갈 수 있는 계기가 될 것이라고 설명했다. 한국맥널티의 ‘아이브루 예가체프 라떼’는 대형마트 및 온라인 등 여러 유통채널에서 만날 수 있다.TOM칼럼-깊이있는 투자정보▶무료 만화 즐기고~ 선물타자!▶ 빵빵한 차&레이싱걸▶ 상생협력팀 함혜강 에디터   머니투데이 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.성접대 받은 근로감독관, 3주만에 무시 당한 고용노동부 장관김수미, 故마광수 빈소 음주 소동… 경찰 출동[기자수첩] 청소년이 범죄자가 되는 이유文대통령, '조선 검' 받고 푸틴에게 '대나무 낚싯대' 선물[단독] 서울시, 9월부터 264명에 청년수당 '지급 중단' 초강수좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :""]"
9,삼성전자, 2017-09-0818:08,한국경제TV ,"[이시각 공시리포트]삼성전자,반도체와 디스플레이 판매 호조 예상",https://finance.naver.com/news/news_read.nhn?article_id=0000572526&office_id=215&mode=search&query=삼성전자&page=1,"['       [이시각 공시리포트]삼성전자,반도체와 디스플레이 판매 호조 예상      기사입력2017-09-08 18:08기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글공시 - 코스맥스인삼열매 발효물 관련 특허권 취득. 향후 출시제품에 적용할 예정삼성전자 - 한화투자증권반도체 가격이 연말까지 견조한 흐름을 보일 것이라며 3Q보다는 4Q 실적 호조 예상삼성전자 - 이베스트투자증권반도체와 디스플레이 판매 호조 예상. 목표주가 310만원으로 상향조정SK하이닉스 - 메리츠종금증권D램, 낸드 수급 개선이 이어지면서 영업이익 시장예상치 상회 전망, 목표주가 8만9천원으로 상향조정AP시스템 - 신한금융투자주요 매출이 상반기에 반영되면서 하반기 실적 주춤, 목표주가 6만원으로 하향조정한국금융지주 - 신한금융투자증시호조로 우호적인 업황 예상, IB경쟁력 강화로 증권 자회사 수익 규모 증가 예상. 목표주가 7만 2천원 제시Mr. ⓒ 한국경제TV, 무단 전재 및 재배포 금지한국경제TV 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.서울서도 터졌다, 여중생 8명 후배 집단폭행…보호관찰 중 범행백지영, ""때린 적 없다"" 억울한 루머 왜?태사자 박준석, 미모의 아내 박교이 첫 공개 ""엔터테인먼트사 CEO""문재인 시계, 불법 판매까지?...몸값 오르는 \'이니굿즈\'는?송중기♥송혜교, 美 샌프란시스코서 웨딩촬영…사진작가는 홍장현좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
